                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |      90392 |      90519 |      89754
  Cycles                             |     382508 |     382508 |     382508
  IPC                                |       0.24 |       0.24 |       0.23
  Time (ns)                          |     143800 |     143800 |     143800
  Idle time (ns)                     |        -53 |       -124 |       -124
  Idle time (%)                      |      -0.0% |      -0.1% |      -0.1%
Branch predictor stats               |            |            |           
  num correct                        |      19627 |      19646 |      19520
  num incorrect                      |       1071 |       1085 |       1046
  misprediction rate                 |      5.17% |      5.23% |      5.09%
  mpki                               |      11.85 |      11.99 |      11.65
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |       4838 |       4859 |       4798
    num misses                       |         44 |         45 |         42
    miss rate                        |      0.91% |      0.93% |      0.88%
    mpki                             |       0.49 |       0.50 |       0.47
  D-TLB                              |            |            |           
    num accesses                     |      69631 |      69692 |      69018
    num misses                       |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |           
    num accesses                     |         65 |         66 |         63
    num misses                       |         65 |         66 |         63
    miss rate                        |    100.00% |    100.00% |    100.00%
    mpki                             |       0.72 |       0.73 |       0.70
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |       4838 |       4859 |       4798
    num cache misses                 |        644 |        636 |        588
    miss rate                        |     13.31% |     13.09% |     12.26%
    mpki                             |       7.12 |       7.03 |       6.55
  Cache L1-D                         |            |            |           
    num cache accesses               |      69631 |      69692 |      69018
    num cache misses                 |        429 |        427 |        434
    miss rate                        |      0.62% |      0.61% |      0.63%
    mpki                             |       4.75 |       4.72 |       4.84
  Cache L2                           |            |            |           
    num cache accesses               |       1091 |       1084 |       1040
    num cache misses                 |        789 |        802 |        762
    miss rate                        |     72.32% |     73.99% |     73.27%
    mpki                             |       8.73 |       8.86 |       8.49
  Cache L3                           |            |            |           
    num cache accesses               |        808 |        824 |        781
    num cache misses                 |        739 |        756 |        712
    miss rate                        |     91.46% |     91.75% |     91.17%
    mpki                             |       8.18 |       8.35 |       7.93
DRAM summary                         |            |            |           
  num dram accesses                  |       2207 |          0 |          0
  average dram access latency (ns)   |      81.93 |        inf |        inf
  average dram queueing delay        |      28.51 |       0.00 |       0.00
  average dram bandwidth utilization |     12.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |        158 |        167 |        154
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
