                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |    9890681 |    9891916 |    9889271 |    9889879 |    9889869 |    9892513 |    9893138 |    9889862 |    9891334 |    9891412 |    9891164 |    9892983 |    9891580 |    9890880
  Cycles                             |   56183190 |   56183190 |   56183190 |   56183190 |   56183190 |   56183190 |   56183190 |   56183190 |   56183190 |   56183190 |   56183190 |   56183190 |   56183190 |   56183190
  IPC                                |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18
  Time (ns)                          |   21121500 |   21121500 |   21121500 |   21121500 |   21121500 |   21121500 |   21121500 |   21121500 |   21121500 |   21121500 |   21121500 |   21121500 |   21121500 |   21121500
  Idle time (ns)                     |        -47 |         64 |         18 |        -88 |        -17 |        -23 |       -107 |        124 |         13 |        -50 |        -88 |        124 |         64 |         27
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     287272 |     287306 |     287233 |     287249 |     287249 |     287322 |     287362 |     287249 |     287290 |     287292 |     287285 |     287353 |     287297 |     287278
  num incorrect                      |        974 |        974 |        974 |        974 |        974 |        974 |       1015 |        974 |        974 |        974 |        974 |       1004 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1085947 |    1086082 |    1085794 |    1085858 |    1085858 |    1086146 |    1086228 |    1085857 |    1086018 |    1086027 |    1085999 |    1086216 |    1086045 |    1085970
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         42 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4563546 |    4564113 |    4562896 |    4563170 |    4563170 |    4564387 |    4564626 |    4563164 |    4563839 |    4563881 |    4563759 |    4564601 |    4563957 |    4563636
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         74 |         72 |         72
    num misses                       |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         74 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1085947 |    1086082 |    1085794 |    1085858 |    1085858 |    1086146 |    1086228 |    1085857 |    1086018 |    1086027 |    1085999 |    1086216 |    1086045 |    1085970
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4563546 |    4564113 |    4562896 |    4563170 |    4563170 |    4564387 |    4564626 |    4563164 |    4563839 |    4563881 |    4563759 |    4564601 |    4563957 |    4563636
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
