                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |     121183 |     121627 |     120827 |     117651 |     120839 |     118705 |     118724 |     118675 |     117560 |     117406
  Cycles                             |     830984 |     830984 |     830984 |     830984 |     830984 |     830984 |     830984 |     830984 |     830984 |     830984
  IPC                                |       0.15 |       0.15 |       0.15 |       0.14 |       0.15 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Time (ns)                          |     312400 |     312400 |     312400 |     312400 |     312400 |     312400 |     312400 |     312400 |     312400 |     312400
  Idle time (ns)                     |         83 |        -58 |       1259 |        -58 |        519 |        467 |        427 |        267 |        267 |        630
  Idle time (%)                      |       0.0% |      -0.0% |       0.4% |      -0.0% |       0.2% |       0.1% |       0.1% |       0.1% |       0.1% |       0.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21973 |      22023 |      21933 |      21437 |      21934 |      21553 |      21554 |      21552 |      21424 |      21415
  num incorrect                      |       1458 |       1503 |       1437 |       1343 |       1438 |       1353 |       1353 |       1352 |       1343 |       1339
  misprediction rate                 |      6.22% |      6.39% |      6.15% |      5.90% |      6.15% |      5.91% |      5.91% |      5.90% |      5.90% |      5.88%
  mpki                               |      12.03 |      12.36 |      11.89 |      11.42 |      11.90 |      11.40 |      11.40 |      11.39 |      11.42 |      11.40
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15246 |      15330 |      15182 |      14873 |      15182 |      14990 |      14992 |      14985 |      14873 |      14856
    num misses                       |         49 |         52 |         49 |         42 |         49 |         45 |         45 |         45 |         42 |         41
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.28% |      0.32% |      0.30% |      0.30% |      0.30% |      0.28% |      0.28%
    mpki                             |       0.40 |       0.43 |       0.41 |       0.36 |       0.41 |       0.38 |       0.38 |       0.38 |       0.36 |       0.35
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40036 |      40200 |      39890 |      39036 |      39901 |      39469 |      39482 |      39454 |      39024 |      38972
    num misses                       |        117 |        118 |        117 |        114 |        117 |        115 |        115 |        115 |        114 |        111
    miss rate                        |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.28%
    mpki                             |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.95
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        166 |        170 |        166 |        156 |        166 |        160 |        160 |        160 |        156 |        152
    num misses                       |        117 |        121 |        117 |        110 |        117 |        113 |        113 |        113 |        110 |        107
    miss rate                        |     70.48% |     71.18% |     70.48% |     70.51% |     70.48% |     70.62% |     70.62% |     70.62% |     70.51% |     70.39%
    mpki                             |       0.97 |       0.99 |       0.97 |       0.93 |       0.97 |       0.95 |       0.95 |       0.95 |       0.94 |       0.91
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15246 |      15330 |      15182 |      14873 |      15182 |      14990 |      14992 |      14985 |      14873 |      14856
    num cache misses                 |       5483 |       5096 |       5535 |       5555 |       5588 |       5749 |       5758 |       5675 |       5475 |       5331
    miss rate                        |     35.96% |     33.24% |     36.46% |     37.35% |     36.81% |     38.35% |     38.41% |     37.87% |     36.81% |     35.88%
    mpki                             |      45.25 |      41.90 |      45.81 |      47.22 |      46.24 |      48.43 |      48.50 |      47.82 |      46.57 |      45.41
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40036 |      40200 |      39890 |      39036 |      39901 |      39469 |      39482 |      39454 |      39024 |      38972
    num cache misses                 |       6676 |       6465 |       6772 |       6764 |       6781 |       6921 |       6930 |       6888 |       6765 |       6638
    miss rate                        |     16.67% |     16.08% |     16.98% |     17.33% |     16.99% |     17.54% |     17.55% |     17.46% |     17.34% |     17.03%
    mpki                             |      55.09 |      53.15 |      56.05 |      57.49 |      56.12 |      58.30 |      58.37 |      58.04 |      57.55 |      56.54
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12195 |      11599 |      12342 |      12353 |      12405 |      12703 |      12720 |      12595 |      12274 |      12001
    num cache misses                 |       8681 |       8610 |       8971 |       9048 |       8764 |       9038 |       9193 |       8961 |       9008 |       8557
    miss rate                        |     71.18% |     74.23% |     72.69% |     73.25% |     70.65% |     71.15% |     72.27% |     71.15% |     73.39% |     71.30%
    mpki                             |      71.64 |      70.79 |      74.25 |      76.91 |      72.53 |      76.14 |      77.43 |      75.51 |      76.62 |      72.88
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8718 |       8650 |       9007 |       9083 |       8801 |       9072 |       9226 |       8994 |       9043 |       8591
    num cache misses                 |       2544 |       2582 |       2527 |       2423 |       2521 |       2449 |       2452 |       2443 |       2430 |       2422
    miss rate                        |     29.18% |     29.85% |     28.06% |     26.68% |     28.64% |     27.00% |     26.58% |     27.16% |     26.87% |     28.19%
    mpki                             |      20.99 |      21.23 |      20.91 |      20.59 |      20.86 |      20.63 |      20.65 |      20.59 |      20.67 |      20.63
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      24983 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      87.63 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      34.21 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
