                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   40121626 |   40120873 |   40115661 |   40115457 |   40107280 |   40109177
  Cycles                             |   80772762 |   80772762 |   80772762 |   80772762 |   80772762 |   80772762
  IPC                                |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50
  Time (ns)                          |   30365700 |   30365700 |   30365700 |   30365700 |   30365700 |   30365700
  Idle time (ns)                     |        -57 |        327 |        -20 |        -57 |         -1 |         17
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   10022008 |   10021927 |   10020658 |   10020606 |   10018561 |   10019039
  num incorrect                      |       1517 |       1453 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15334 |      15187 |      15165 |      15165 |      15165 |      15165
    num misses                       |         52 |         49 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      40202 |      39892 |      39839 |      39839 |      39839 |      39839
    num misses                       |         76 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        128 |        124 |        123 |        123 |        123 |        123
    num misses                       |        121 |        117 |        116 |        116 |        116 |        116
    miss rate                        |     94.53% |     94.35% |     94.31% |     94.31% |     94.31% |     94.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15334 |      15187 |      15165 |      15165 |      15165 |      15165
    num cache misses                 |       4481 |       4461 |       4513 |       4392 |       4170 |       4456
    miss rate                        |     29.22% |     29.37% |     29.76% |     28.96% |     27.50% |     29.38%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      40202 |      39892 |      39839 |      39839 |      39839 |      39839
    num cache misses                 |       4071 |       4053 |       4082 |       4062 |       3884 |       4029
    miss rate                        |     10.13% |     10.16% |     10.25% |     10.20% |      9.75% |     10.11%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       8585 |       8547 |       8626 |       8486 |       8086 |       8516
    num cache misses                 |       3545 |       3462 |       3470 |       3453 |       3409 |       3442
    miss rate                        |     41.29% |     40.51% |     40.23% |     40.69% |     42.16% |     40.42%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.08 |       0.09
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3580 |       3498 |       3504 |       3488 |       3445 |       3478
    num cache misses                 |       2478 |       2430 |       2414 |       2414 |       2413 |       2413
    miss rate                        |     69.22% |     69.47% |     68.89% |     69.21% |     70.04% |     69.38%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14566 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      72.86 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1139 |       1136 |       1135 |       1131 |       1134 |       1132
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
