                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     121627 |     120663 |     120481 |     120595 |     120699 |     120580 |     119863 |     119187
  Cycles                             |     691334 |     691334 |     691334 |     691334 |     691334 |     691334 |     691334 |     691334
  IPC                                |       0.18 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
  Time (ns)                          |     259900 |     259900 |     259900 |     259900 |     259900 |     259900 |     259900 |     259900
  Idle time (ns)                     |       -104 |        -76 |        168 |        809 |        230 |        403 |       -104 |        205
  Idle time (%)                      |      -0.0% |      -0.0% |       0.1% |       0.3% |       0.1% |       0.2% |      -0.0% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      22023 |      21925 |      21915 |      21921 |      21926 |      21919 |      21804 |      21651
  num incorrect                      |       1503 |       1426 |       1417 |       1424 |       1427 |       1424 |       1387 |       1369
  misprediction rate                 |      6.39% |      6.11% |      6.07% |      6.10% |      6.11% |      6.10% |      5.98% |      5.95%
  mpki                               |      12.36 |      11.82 |      11.76 |      11.81 |      11.82 |      11.81 |      11.57 |      11.49
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15330 |      15157 |      15129 |      15145 |      15163 |      15143 |      15065 |      15023
    num misses                       |         52 |         48 |         46 |         47 |         48 |         47 |         45 |         45
    miss rate                        |      0.34% |      0.32% |      0.30% |      0.31% |      0.32% |      0.31% |      0.30% |      0.30%
    mpki                             |       0.43 |       0.40 |       0.38 |       0.39 |       0.40 |       0.39 |       0.38 |       0.38
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      40200 |      39810 |      39694 |      39756 |      39830 |      39774 |      39649 |      39557
    num misses                       |        118 |        117 |        116 |        117 |        117 |        117 |        116 |        116
    miss rate                        |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.97 |       0.96 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        170 |        165 |        162 |        164 |        165 |        164 |        161 |        161
    num misses                       |        121 |        116 |        114 |        115 |        116 |        115 |        114 |        114
    miss rate                        |     71.18% |     70.30% |     70.37% |     70.12% |     70.30% |     70.12% |     70.81% |     70.81%
    mpki                             |       0.99 |       0.96 |       0.95 |       0.95 |       0.96 |       0.95 |       0.95 |       0.96
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15330 |      15157 |      15129 |      15145 |      15163 |      15143 |      15065 |      15023
    num cache misses                 |       4953 |       5802 |       5498 |       5750 |       5451 |       5573 |       5314 |       5163
    miss rate                        |     32.31% |     38.28% |     36.34% |     37.97% |     35.95% |     36.80% |     35.27% |     34.37%
    mpki                             |      40.72 |      48.08 |      45.63 |      47.68 |      45.16 |      46.22 |      44.33 |      43.32
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      40200 |      39810 |      39694 |      39756 |      39830 |      39774 |      39649 |      39557
    num cache misses                 |       5187 |       5679 |       5548 |       5706 |       5541 |       5561 |       5506 |       5424
    miss rate                        |     12.90% |     14.27% |     13.98% |     14.35% |     13.91% |     13.98% |     13.89% |     13.71%
    mpki                             |      42.65 |      47.06 |      46.05 |      47.32 |      45.91 |      46.12 |      45.94 |      45.51
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10176 |      11514 |      11077 |      11487 |      11024 |      11166 |      10851 |      10619
    num cache misses                 |       4379 |       4472 |       4437 |       4480 |       4453 |       4509 |       4390 |       4305
    miss rate                        |     43.03% |     38.84% |     40.06% |     39.00% |     40.39% |     40.38% |     40.46% |     40.54%
    mpki                             |      36.00 |      37.06 |      36.83 |      37.15 |      36.89 |      37.39 |      36.63 |      36.12
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4416 |       4506 |       4470 |       4514 |       4487 |       4543 |       4422 |       4338
    num cache misses                 |       2475 |       2406 |       2382 |       2399 |       2408 |       2397 |       2366 |       2365
    miss rate                        |     56.05% |     53.40% |     53.29% |     53.15% |     53.67% |     52.76% |     53.51% |     54.52%
    mpki                             |      20.35 |      19.94 |      19.77 |      19.89 |      19.95 |      19.88 |      19.74 |      19.84
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19198 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      82.30 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      28.87 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     62.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1146 |       1140 |       1140 |       1151 |       1145 |       1150 |       1137 |       1140
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
