                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      39787 |      36980 |      34510 |      36187 |      34483 |      34661 |      35045 |      39563
  Cycles                             |     189126 |     189126 |     189126 |     189126 |     189126 |     189126 |     189126 |     189126
  IPC                                |       0.21 |       0.20 |       0.18 |       0.19 |       0.18 |       0.18 |       0.19 |       0.21
  Time (ns)                          |      71100 |      71100 |      71100 |      71100 |      71100 |      71100 |      71100 |      71100
  Idle time (ns)                     |        293 |        196 |         69 |         94 |        -31 |         19 |         46 |         46
  Idle time (%)                      |       0.4% |       0.3% |       0.1% |       0.1% |      -0.0% |       0.0% |       0.1% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |       8597 |       8469 |       8062 |       8418 |       8061 |       8097 |       8173 |       8572
  num incorrect                      |       1013 |        971 |        893 |        952 |        893 |        898 |        910 |        987
  misprediction rate                 |     10.54% |     10.29% |      9.97% |     10.16% |      9.97% |      9.98% |     10.02% |     10.33%
  mpki                               |      25.46 |      26.26 |      25.88 |      26.31 |      25.90 |      25.91 |      25.97 |      24.95
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |       4784 |       4525 |       4178 |       4430 |       4175 |       4202 |       4260 |       4738
    num misses                       |         43 |         39 |         38 |         38 |         38 |         38 |         38 |         40
    miss rate                        |      0.90% |      0.86% |      0.91% |      0.86% |      0.91% |      0.90% |      0.89% |      0.84%
    mpki                             |       1.08 |       1.05 |       1.10 |       1.05 |       1.10 |       1.10 |       1.08 |       1.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      10463 |       9143 |       8479 |       8680 |       8464 |       8495 |       8559 |      10357
    num misses                       |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.21% |      0.24% |      0.26% |      0.25% |      0.26% |      0.26% |      0.26% |      0.21%
    mpki                             |       0.55 |       0.59 |       0.64 |       0.61 |       0.64 |       0.63 |       0.63 |       0.56
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |         65 |         61 |         60 |         60 |         60 |         60 |         60 |         62
    num misses                       |         65 |         61 |         60 |         60 |         60 |         60 |         60 |         62
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.63 |       1.65 |       1.74 |       1.66 |       1.74 |       1.73 |       1.71 |       1.57
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |       4784 |       4525 |       4178 |       4430 |       4175 |       4202 |       4260 |       4738
    num cache misses                 |       2161 |       2278 |       2254 |       2343 |       2174 |       2185 |       2285 |       2081
    miss rate                        |     45.17% |     50.34% |     53.95% |     52.89% |     52.07% |     52.00% |     53.64% |     43.92%
    mpki                             |      54.31 |      61.60 |      65.31 |      64.75 |      63.05 |      63.04 |      65.20 |      52.60
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      10463 |       9143 |       8479 |       8680 |       8464 |       8495 |       8559 |      10357
    num cache misses                 |       1451 |       1491 |       1499 |       1461 |       1456 |       1470 |       1502 |       1454
    miss rate                        |     13.87% |     16.31% |     17.68% |     16.83% |     17.20% |     17.30% |     17.55% |     14.04%
    mpki                             |      36.47 |      40.32 |      43.44 |      40.37 |      42.22 |      42.41 |      42.86 |      36.75
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3632 |       3783 |       3766 |       3817 |       3640 |       3668 |       3800 |       3550
    num cache misses                 |        926 |        894 |        865 |        866 |        847 |        865 |        895 |        931
    miss rate                        |     25.50% |     23.63% |     22.97% |     22.69% |     23.27% |     23.58% |     23.55% |     26.23%
    mpki                             |      23.27 |      24.18 |      25.07 |      23.93 |      24.56 |      24.96 |      25.54 |      23.53
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        950 |        912 |        881 |        882 |        863 |        881 |        911 |        950
    num cache misses                 |        777 |        723 |        675 |        702 |        672 |        686 |        692 |        743
    miss rate                        |     81.79% |     79.28% |     76.62% |     79.59% |     77.87% |     77.87% |     75.96% |     78.21%
    mpki                             |      19.53 |      19.55 |      19.56 |      19.40 |      19.49 |      19.79 |      19.75 |      18.78
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       5670 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     251.68 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     198.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     67.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        174 |        159 |        153 |        158 |        151 |        158 |        157 |        164
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
