                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14    
  Instructions                       |    70112595 |    70108284 |    70101802 |    70099968 |    70121439 |    70100033 |    70121711 |    70120893 |    70116170 |    70119458 |    70101300 |    70102498 |    70110905 |    70113264 |    70109644
  Cycles                             |  2055784458 |  2055784458 |  2055784458 |  2055784458 |  2055784458 |  2055784458 |  2055784458 |  2055784458 |  2055784458 |  2055784458 |  2055784458 |  2055784458 |  2055784458 |  2055784458 |  2055784458
  IPC                                |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                          |   772851300 |   772851300 |   772851300 |   772851300 |   772851300 |   772851300 |   772851300 |   772851300 |   772851300 |   772851300 |   772851300 |   772851300 |   772851300 |   772851300 |   772851300
  Idle time (ns)                     |         251 |          52 |         499 |          52 |        1994 |         412 |         -67 |        8902 |         170 |         251 |         240 |         571 |         -67 |         571 |         499
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10020737 |    10020121 |    10019195 |    10018933 |    10021980 |    10018943 |    10022008 |    10021915 |    10021248 |    10021718 |    10019123 |    10019295 |    10020496 |    10020833 |    10020316
  num incorrect                      |        1443 |        1443 |        1443 |        1443 |        1489 |        1443 |        1519 |        1452 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15171 |       15171 |       15171 |       15171 |       15287 |       15171 |       15340 |       15191 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171
    num misses                       |          48 |          48 |          48 |          48 |          50 |          48 |          52 |          49 |          48 |          48 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.32% |       0.32% |       0.32% |       0.32% |       0.33% |       0.32% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60032823 |    60029127 |    60023562 |    60022000 |    60040147 |    60022058 |    60040231 |    60039917 |    60035888 |    60038706 |    60023140 |    60024168 |    60031375 |    60033398 |    60030295
    num misses                       |          79 |          79 |          79 |          79 |          80 |          79 |          80 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         127 |         127 |         127 |         127 |         130 |         127 |         132 |         128 |         127 |         127 |         127 |         127 |         127 |         127 |         127
    num misses                       |         116 |         116 |         116 |         116 |         119 |         116 |         121 |         117 |         116 |         116 |         116 |         116 |         116 |         116 |         116
    miss rate                        |      91.34% |      91.34% |      91.34% |      91.34% |      91.54% |      91.34% |      91.67% |      91.41% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15171 |       15171 |       15171 |       15171 |       15287 |       15171 |       15340 |       15191 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171
    num cache misses                 |        7022 |        7004 |        7077 |        6846 |        5620 |        6984 |        5546 |        6937 |        6685 |        6200 |        6987 |        7050 |        6762 |        6567 |        6459
    miss rate                        |      46.29% |      46.17% |      46.65% |      45.13% |      36.76% |      46.04% |      36.15% |      45.67% |      44.06% |      40.87% |      46.05% |      46.47% |      44.57% |      43.29% |      42.57%
    mpki                             |        0.10 |        0.10 |        0.10 |        0.10 |        0.08 |        0.10 |        0.08 |        0.10 |        0.10 |        0.09 |        0.10 |        0.10 |        0.10 |        0.09 |        0.09
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60032823 |    60029127 |    60023562 |    60022000 |    60040147 |    60022058 |    60040231 |    60039917 |    60035888 |    60038706 |    60023140 |    60024168 |    60031375 |    60033398 |    60030295
    num cache misses                 |    41370390 |    41371822 |    41370625 |    41366671 |    41366976 |    41368283 |    41365253 |    41374054 |    41373475 |    41370149 |    41367932 |    41368005 |    41372739 |    41367839 |    41366133
    miss rate                        |      68.91% |      68.92% |      68.92% |      68.92% |      68.90% |      68.92% |      68.90% |      68.91% |      68.91% |      68.91% |      68.92% |      68.92% |      68.92% |      68.91% |      68.91%
    mpki                             |      590.06 |      590.11 |      590.15 |      590.11 |      589.93 |      590.13 |      589.91 |      590.04 |      590.07 |      590.00 |      590.12 |      590.11 |      590.10 |      590.01 |      590.02
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    41377453 |    41378863 |    41377738 |    41373550 |    41372633 |    41375303 |    41370837 |    41381028 |    41380193 |    41376385 |    41374955 |    41375088 |    41379534 |    41374447 |    41372630
    num cache misses                 |    41374746 |    41376508 |    41375264 |    41371189 |    41370444 |    41372765 |    41368608 |    41378473 |    41377763 |    41373948 |    41372605 |    41372579 |    41377125 |    41371777 |    41370026
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      590.12 |      590.18 |      590.22 |      590.17 |      589.98 |      590.20 |      589.95 |      590.10 |      590.13 |      590.05 |      590.18 |      590.17 |      590.17 |      590.07 |      590.08
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    41374788 |    41376546 |    41375302 |    41371225 |    41370483 |    41372801 |    41368648 |    41378512 |    41377797 |    41373985 |    41372641 |    41372613 |    41377160 |    41371820 |    41370066
    num cache misses                 |        2549 |        2552 |        2554 |        2549 |        2574 |        2546 |        2599 |        2568 |        2553 |        2528 |        2554 |        2545 |        2552 |        2541 |        2543
    miss rate                        |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
    mpki                             |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       39307 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       96.99 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       43.56 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
