                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   28541919 |   28593035 |   28654382 |   28566003 |   28566866 |   28532767 |   28558241 |   28540504 |   28631858 |   28568477 |   28636789 |   28629631 |   28626596 |   28759986
  Cycles                             |  263780496 |  263780496 |  263780496 |  263780496 |  263780496 |  263780496 |  263780496 |  263780496 |  263780496 |  263780496 |  263780496 |  263780496 |  263780496 |  263780496
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |   99165600 |   99165600 |   99165600 |   99165600 |   99165600 |   99165600 |   99165600 |   99165600 |   99165600 |   99165600 |   99165600 |   99165600 |   99165600 |   99165600
  Idle time (ns)                     |        224 |        374 |        284 |        167 |         76 |          0 |        346 |        330 |        -64 |         76 |         71 |        -64 |        224 |        -64
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1055417 |    1056414 |    1057610 |    1055887 |    1055904 |    1055240 |    1055735 |    1055390 |    1057170 |    1055935 |    1057266 |    1057127 |    1057068 |    1059719
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2859432 |    2863380 |    2868118 |    2861292 |    2861359 |    2858727 |    2860692 |    2859323 |    2866377 |    2861483 |    2866758 |    2866206 |    2865971 |    2876325
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15664881 |   15691449 |   15723334 |   15677396 |   15677848 |   15660115 |   15673366 |   15664150 |   15711608 |   15678686 |   15714188 |   15710469 |   15708891 |   15778151
    num misses                       |       5853 |       5970 |       6101 |       5908 |       5911 |       5830 |       5889 |       5849 |       6049 |       5915 |       6060 |       6043 |       6035 |       6344
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.20 |       0.21 |       0.20 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5914 |       6031 |       6162 |       5969 |       5972 |       5891 |       5950 |       5910 |       6110 |       5976 |       6121 |       6104 |       6096 |       6407
    num misses                       |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        333
    miss rate                        |      5.34% |      5.24% |      5.13% |      5.29% |      5.29% |      5.36% |      5.31% |      5.35% |      5.17% |      5.29% |      5.16% |      5.18% |      5.18% |      5.20%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2859432 |    2863380 |    2868118 |    2861292 |    2861359 |    2858727 |    2860692 |    2859323 |    2866377 |    2861483 |    2866758 |    2866206 |    2865971 |    2876325
    num cache misses                 |    1739513 |    1718206 |    1714363 |    1716827 |    1718164 |    1715189 |    1711415 |    1713779 |    1707039 |    1701658 |    1698689 |    1693534 |    1694488 |    1679338
    miss rate                        |     60.83% |     60.01% |     59.77% |     60.00% |     60.05% |     60.00% |     59.83% |     59.94% |     59.55% |     59.47% |     59.25% |     59.09% |     59.12% |     58.38%
    mpki                             |      60.95 |      60.09 |      59.83 |      60.10 |      60.15 |      60.11 |      59.93 |      60.05 |      59.62 |      59.56 |      59.32 |      59.15 |      59.19 |      58.39
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15664881 |   15691449 |   15723334 |   15677396 |   15677848 |   15660115 |   15673366 |   15664150 |   15711608 |   15678686 |   15714188 |   15710469 |   15708891 |   15778151
    num cache misses                 |    6922479 |    6900930 |    6909483 |    6909656 |    6928007 |    6966464 |    6922929 |    6946763 |    6940434 |    6917357 |    6910337 |    6918481 |    6920980 |    6907279
    miss rate                        |     44.19% |     43.98% |     43.94% |     44.07% |     44.19% |     44.49% |     44.17% |     44.35% |     44.17% |     44.12% |     43.98% |     44.04% |     44.06% |     43.78%
    mpki                             |     242.54 |     241.35 |     241.13 |     241.88 |     242.52 |     244.16 |     242.41 |     243.40 |     242.40 |     242.13 |     241.31 |     241.65 |     241.77 |     240.17
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8662770 |    8619933 |    8624639 |    8627272 |    8646965 |    8682444 |    8635150 |    8661322 |    8648283 |    8619818 |    8609817 |    8612849 |    8616266 |    8587440
    num cache misses                 |    4579732 |    4556816 |    4557287 |    4581220 |    4602625 |    4608445 |    4610276 |    4611768 |    4579961 |    4574573 |    4569670 |    4561321 |    4562538 |    4544873
    miss rate                        |     52.87% |     52.86% |     52.84% |     53.10% |     53.23% |     53.08% |     53.39% |     53.25% |     52.96% |     53.07% |     53.08% |     52.96% |     52.95% |     52.92%
    mpki                             |     160.46 |     159.37 |     159.04 |     160.37 |     161.12 |     161.51 |     161.43 |     161.59 |     159.96 |     160.13 |     159.57 |     159.32 |     159.38 |     158.03
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4580523 |    4557630 |    4558097 |    4582024 |    4603437 |    4609247 |    4611094 |    4612558 |    4580787 |    4575389 |    4570473 |    4562168 |    4563351 |    4545710
    num cache misses                 |      35585 |      35625 |      35633 |      35631 |      35648 |      35629 |      35636 |      35610 |      35612 |      35633 |      35595 |      35630 |      35588 |      35991
    miss rate                        |      0.78% |      0.78% |      0.78% |      0.78% |      0.77% |      0.77% |      0.77% |      0.77% |      0.78% |      0.78% |      0.78% |      0.78% |      0.78% |      0.79%
    mpki                             |       1.25 |       1.25 |       1.24 |       1.25 |       1.25 |       1.25 |       1.25 |       1.25 |       1.24 |       1.25 |       1.24 |       1.24 |       1.24 |       1.25
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     635034 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      56.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      34000 |      34039 |      34093 |      34098 |      34129 |      34074 |      34094 |      34045 |      34090 |      34075 |      34074 |      34079 |      34042 |      34212
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
