                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    9886172 |    9885102 |    9886516 |    9889353 |    9893138 |    9889296 |    9885417 |    9886944 |    9887560 |    9890492 |    9890921 |    9887015 |    9883699 |    9888232 |    9890074 |    9887755
  Cycles                             |   64188460 |   64188460 |   64188460 |   64188460 |   64188460 |   64188460 |   64188460 |   64188460 |   64188460 |   64188460 |   64188460 |   64188460 |   64188460 |   64188460 |   64188460 |   64188460
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |   24131000 |   24131000 |   24131000 |   24131000 |   24131000 |   24131000 |   24131000 |   24131000 |   24131000 |   24131000 |   24131000 |   24131000 |   24131000 |   24131000 |   24131000 |   24131000
  Idle time (ns)                     |        138 |         66 |        -13 |        128 |        -62 |        -41 |        -62 |         38 |        129 |         17 |         38 |        107 |        128 |         31 |        -41 |        193
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     287147 |     287117 |     287157 |     287235 |     287362 |     287233 |     287125 |     287168 |     287185 |     287267 |     287279 |     287170 |     287079 |     287205 |     287254 |     287190
  num incorrect                      |        974 |        974 |        974 |        974 |       1015 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1085455 |    1085337 |    1085493 |    1085802 |    1086228 |    1085795 |    1085371 |    1085539 |    1085606 |    1085927 |    1085974 |    1085547 |    1085186 |    1085681 |    1085879 |    1085626
    num misses                       |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4561471 |    4560972 |    4561628 |    4562930 |    4564626 |    4562906 |    4561110 |    4561825 |    4562107 |    4563459 |    4563654 |    4561859 |    4560333 |    4562418 |    4563262 |    4562198
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72
