                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     112935 |     113829 |     121305 |     120942 |     120578 |     115299 |     118013 |     113878 |     121651 |     113892 |     113290 |     117375 |     113254 |     113101 |     114762 |     112869
  Cycles                             |    1245146 |    1245146 |    1245146 |    1245146 |    1245146 |    1245146 |    1245146 |    1245146 |    1245146 |    1245146 |    1245146 |    1245146 |    1245146 |    1245146 |    1245146 |    1245146
  IPC                                |       0.09 |       0.09 |       0.10 |       0.10 |       0.10 |       0.09 |       0.09 |       0.09 |       0.10 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     468100 |     468100 |     468100 |     468100 |     468100 |     468100 |     468100 |     468100 |     468100 |     468100 |     468100 |     468100 |     468100 |     468100 |     468100 |     468100
  Idle time (ns)                     |        156 |        292 |        241 |        241 |        292 |        232 |         97 |         18 |         -6 |         14 |         97 |        475 |        567 |         -6 |         18 |        232
  Idle time (%)                      |       0.0% |       0.1% |       0.1% |       0.1% |       0.1% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.1% |       0.1% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20817 |      20934 |      21975 |      21932 |      21908 |      21123 |      21464 |      20939 |      22012 |      20940 |      20863 |      21395 |      20860 |      20837 |      21056 |      20810
  num incorrect                      |       1320 |       1326 |       1481 |       1454 |       1435 |       1337 |       1358 |       1328 |       1514 |       1328 |       1321 |       1349 |       1321 |       1320 |       1333 |       1319
  misprediction rate                 |      5.96% |      5.96% |      6.31% |      6.22% |      6.15% |      5.95% |      5.95% |      5.96% |      6.44% |      5.96% |      5.95% |      5.93% |      5.96% |      5.96% |      5.95% |      5.96%
  mpki                               |      11.69 |      11.65 |      12.21 |      12.02 |      11.90 |      11.60 |      11.51 |      11.66 |      12.45 |      11.66 |      11.66 |      11.49 |      11.66 |      11.67 |      11.62 |      11.69
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14368 |      14460 |      15269 |      15193 |      15142 |      14623 |      14915 |      14468 |      15330 |      14470 |      14399 |      14851 |      14395 |      14379 |      14562 |      14368
    num misses                       |         41 |         41 |         50 |         49 |         47 |         41 |         42 |         41 |         52 |         41 |         41 |         41 |         41 |         41 |         41 |         41
    miss rate                        |      0.29% |      0.28% |      0.33% |      0.32% |      0.31% |      0.28% |      0.28% |      0.28% |      0.34% |      0.28% |      0.28% |      0.28% |      0.28% |      0.29% |      0.28% |      0.29%
    mpki                             |       0.36 |       0.36 |       0.41 |       0.41 |       0.39 |       0.36 |       0.36 |       0.36 |       0.43 |       0.36 |       0.36 |       0.35 |       0.36 |       0.36 |       0.36 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      37266 |      37611 |      40100 |      39936 |      39766 |      38128 |      39171 |      37614 |      40216 |      37614 |      37389 |      38955 |      37383 |      37330 |      37932 |      37257
    num misses                       |         70 |         70 |         77 |         76 |         76 |         70 |         74 |         70 |         77 |         70 |         70 |         70 |         70 |         70 |         70 |         70
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.18% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.18% |      0.19% |      0.19% |      0.18% |      0.19%
    mpki                             |       0.62 |       0.61 |       0.63 |       0.63 |       0.63 |       0.61 |       0.63 |       0.61 |       0.63 |       0.61 |       0.62 |       0.60 |       0.62 |       0.62 |       0.61 |       0.62
