                                     | Core 0     | Core 1    
  Instructions                       |   60121730 |   60120754
  Cycles                             |   40421360 |   40421360
  IPC                                |       1.49 |       1.49
  Time (ns)                          |   15196000 |   15196000
  Idle time (ns)                     |       -965 |        -25
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022011 |   10021920
  num incorrect                      |       1515 |       1446
  misprediction rate                 |      0.02% |      0.01%
  mpki                               |       0.03 |       0.02
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15333 |      15183
    num misses                       |         52 |         49
    miss rate                        |      0.34% |      0.32%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |      40262 |      39896
    num misses                       |         73 |         72
    miss rate                        |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        125 |        121
    num misses                       |        123 |        119
    miss rate                        |     98.40% |     98.35%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15333 |      15183
    num cache misses                 |        953 |        911
    miss rate                        |      6.22% |      6.00%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |      40262 |      39896
    num cache misses                 |       1936 |       1943
    miss rate                        |      4.81% |      4.87%
    mpki                             |       0.03 |       0.03
  Cache L2                           |            |           
    num cache accesses               |       2935 |       2898
    num cache misses                 |       2556 |       2500
    miss rate                        |     87.09% |     86.27%
    mpki                             |       0.04 |       0.04
  Cache L3                           |            |           
    num cache accesses               |       2603 |       2545
    num cache misses                 |       2477 |       2424
    miss rate                        |     95.16% |     95.25%
    mpki                             |       0.04 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |       4901 |          0
  average dram access latency (ns)   |      67.82 |        inf
  average dram queueing delay        |      14.39 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1128 |       1121
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
