                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   50121633 |   50118535 |   50115888 |   50120203 |   50120456 |   50114700
  Cycles                             |  240591414 |  240591414 |  240591414 |  240591414 |  240591414 |  240591414
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |   90447900 |   90447900 |   90447900 |   90447900 |   90447900 |   90447900
  Idle time (ns)                     |        -32 |        -32 |         41 |        -12 |         17 |         17
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   10022009 |   10021469 |   10020940 |   10021803 |   10021854 |   10020703
  num incorrect                      |       1517 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15334 |      15165 |      15165 |      15165 |      15165 |      15165
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   60040200 |   60037161 |   60034002 |   60039178 |   60039485 |   60032581
    num misses                       |        128 |        126 |        126 |        126 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        180 |        174 |        174 |        174 |        174 |        174
    num misses                       |        121 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     67.22% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15334 |      15165 |      15165 |      15165 |      15165 |      15165
    num cache misses                 |       4710 |       4706 |       4601 |       4620 |       4773 |       4344
    miss rate                        |     30.72% |     31.03% |     30.34% |     30.46% |     31.47% |     28.64%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.10 |       0.09
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   60040200 |   60037161 |   60034002 |   60039178 |   60039485 |   60032581
    num cache misses                 |       4003 |       3887 |       3851 |       3890 |       3927 |       3718
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.07
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       8747 |       8628 |       8488 |       8543 |       8732 |       8097
    num cache misses                 |       3523 |       3410 |       3412 |       3401 |       3402 |       3398
    miss rate                        |     40.28% |     39.52% |     40.20% |     39.81% |     38.96% |     41.97%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3561 |       3448 |       3452 |       3439 |       3438 |       3434
    num cache misses                 |       2484 |       2427 |       2427 |       2425 |       2412 |       2427
    miss rate                        |     69.76% |     70.39% |     70.31% |     70.51% |     70.16% |     70.68%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14628 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      76.19 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      22.76 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1152 |       1148 |       1149 |       1147 |       1140 |       1148
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
