                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   60121687 |   60121600 |   60121531
  Cycles                             |   90738718 |   90738718 |   90738718
  IPC                                |       0.66 |       0.66 |       0.66
  Time (ns)                          |   34112300 |   34112300 |   34112300
  Idle time (ns)                     |       -513 |        -41 |        824
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022011 |   10022010 |   10022002
  num incorrect                      |       1515 |       1515 |       1506
  misprediction rate                 |      0.02% |      0.02% |      0.02%
  mpki                               |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15333 |      15330 |      15319
    num misses                       |         52 |         51 |         51
    miss rate                        |      0.34% |      0.33% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40243 |      40251 |      40222
    num misses                       |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        125 |        124 |        124
    num misses                       |        123 |        122 |        122
    miss rate                        |     98.40% |     98.39% |     98.39%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15333 |      15330 |      15319
    num cache misses                 |       1420 |       1433 |       1418
    miss rate                        |      9.26% |      9.35% |      9.26%
    mpki                             |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |           
    num cache accesses               |      40243 |      40251 |      40222
    num cache misses                 |       2284 |       2287 |       2286
    miss rate                        |      5.68% |      5.68% |      5.68%
    mpki                             |       0.04 |       0.04 |       0.04
  Cache L2                           |            |            |           
    num cache accesses               |       3742 |       3758 |       3742
    num cache misses                 |       2752 |       2736 |       2727
    miss rate                        |     73.54% |     72.80% |     72.88%
    mpki                             |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |           
    num cache accesses               |       2791 |       2775 |       2766
    num cache misses                 |       2477 |       2475 |       2467
    miss rate                        |     88.75% |     89.19% |     89.19%
    mpki                             |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |           
  num dram accesses                  |       7419 |          0 |          0
  average dram access latency (ns)   |      67.09 |        inf |        inf
  average dram queueing delay        |      13.66 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1132 |       1128 |       1129
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
