                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |     121136 |     121105 |     121051 |     120957 |     121652 |     121396 |     121224
  Cycles                             |     247912 |     247912 |     247912 |     247912 |     247912 |     247912 |     247912
  IPC                                |       0.49 |       0.49 |       0.49 |       0.49 |       0.49 |       0.49 |       0.49
  Time (ns)                          |      93200 |      93200 |      93200 |      93200 |      93200 |      93200 |      93200
  Idle time (ns)                     |         26 |          0 |          0 |         -4 |        -39 |        -39 |         26
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |      21955 |      21952 |      21944 |      21934 |      22012 |      21987 |      21968
  num incorrect                      |       1469 |       1467 |       1466 |       1458 |       1514 |       1492 |       1472
  misprediction rate                 |      6.27% |      6.26% |      6.26% |      6.23% |      6.44% |      6.35% |      6.28%
  mpki                               |      12.13 |      12.11 |      12.11 |      12.05 |      12.45 |      12.29 |      12.14
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      15241 |      15231 |      15220 |      15200 |      15330 |      15286 |      15251
    num misses                       |         49 |         49 |         49 |         49 |         52 |         50 |         50
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.33% |      0.33%
    mpki                             |       0.40 |       0.40 |       0.40 |       0.41 |       0.43 |       0.41 |       0.41
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      40015 |      39996 |      39979 |      39950 |      40219 |      40139 |      40052
    num misses                       |         76 |         76 |         76 |         76 |         77 |         77 |         77
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.64
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        125 |        125 |        125 |        125 |        129 |        127 |        127
    num misses                       |        119 |        119 |        119 |        119 |        123 |        121 |        121
    miss rate                        |     95.20% |     95.20% |     95.20% |     95.20% |     95.35% |     95.28% |     95.28%
    mpki                             |       0.98 |       0.98 |       0.98 |       0.98 |       1.01 |       1.00 |       1.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |      15241 |      15231 |      15220 |      15200 |      15330 |      15286 |      15251
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      40015 |      39996 |      39979 |      39950 |      40219 |      40139 |      40052
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
