                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   28568231 |   28600806 |   28600536 |   28572158 |   28713229 |   28615992 |   28747931 |   28750103 |   28597255 |   28589222 |   28642289 |   28754204 |   28759933 |   28597463 |   28608248
  Cycles                             |  273594300 |  273594300 |  273594300 |  273594300 |  273594300 |  273594300 |  273594300 |  273594300 |  273594300 |  273594300 |  273594300 |  273594300 |  273594300 |  273594300 |  273594300
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.11 |       0.11 |       0.10 |       0.10 |       0.10 |       0.11 |       0.11 |       0.10 |       0.10
  Time (ns)                          |  102855000 |  102855000 |  102855000 |  102855000 |  102855000 |  102855000 |  102855000 |  102855000 |  102855000 |  102855000 |  102855000 |  102855000 |  102855000 |  102855000 |  102855000
  Idle time (ns)                     |        170 |        123 |        325 |        413 |        455 |        123 |        212 |        413 |        325 |        -10 |        264 |        183 |        -10 |        212 |        264
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1055930 |    1056565 |    1056560 |    1056006 |    1058757 |    1056861 |    1059433 |    1059475 |    1056495 |    1056339 |    1057374 |    1059556 |    1059719 |    1056499 |    1056710
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2861464 |    2863979 |    2863959 |    2861767 |    2872662 |    2865152 |    2875341 |    2875508 |    2863704 |    2863085 |    2867183 |    2875826 |    2876325 |    2863720 |    2864554
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15678552 |   15695487 |   15695348 |   15680598 |   15753918 |   15703381 |   15771950 |   15773080 |   15693634 |   15689457 |   15717049 |   15775211 |   15778126 |   15693748 |   15699356
    num misses                       |       5914 |       5988 |       5987 |       5921 |       6227 |       6015 |       6308 |       6313 |       5980 |       5961 |       6073 |       6322 |       6344 |       5981 |       6002
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.21 |       0.21 |       0.21 |       0.21 |       0.22 |       0.21 |       0.22 |       0.22 |       0.21 |       0.21 |       0.21 |       0.22 |       0.22 |       0.21 |       0.21
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
