                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   28759913 |   27384226 |   27177855 |   27112466 |   26891492 |   27040106 |   26776211 |   26855226 |   26773770 |   26778868 |   26832854
  Cycles                             |  142951592 |  142951592 |  142951592 |  142951592 |  142951592 |  142951592 |  142951592 |  142951592 |  142951592 |  142951592 |  142951592
  IPC                                |       0.20 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   53741200 |   53741200 |   53741200 |   53741200 |   53741200 |   53741200 |   53741200 |   53741200 |   53741200 |   53741200 |   53741200
  Idle time (ns)                     |        -45 |        -45 |         72 |        118 |         70 |         56 |         18 |         18 |         70 |          8 |         28
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1028140 |    1021735 |    1019862 |    1013109 |    1017492 |    1009814 |    1012585 |    1009641 |    1010017 |    1011208
  num incorrect                      |       8006 |       7844 |       7796 |       7786 |       7733 |       7764 |       7709 |       7728 |       7707 |       7711 |       7719
  misprediction rate                 |      0.75% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76%
  mpki                               |       0.28 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2761658 |    2741682 |    2735576 |    2714349 |    2728402 |    2703576 |    2711677 |    2703205 |    2704001 |    2708569
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
