                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num cache accesses               |    1308105 |    1294816 |    1309002 |    1315261 |    1286105 |    1304878 |    1309066 |    1298009 |    1298784 |    1294743 |    1290816 |    1304212 |    1298275 |    1308446 |    1289304
    num cache misses                 |    1167931 |    1157286 |    1175194 |    1177835 |    1149635 |    1172929 |    1179045 |    1167407 |    1168401 |    1161167 |    1157357 |    1172564 |    1168434 |    1179226 |    1160096
    miss rate                        |     89.28% |     89.38% |     89.78% |     89.55% |     89.39% |     89.89% |     90.07% |     89.94% |     89.96% |     89.68% |     89.66% |     89.91% |     90.00% |     90.12% |     89.98%
    mpki                             |     176.90 |     172.34 |     178.13 |     178.49 |     170.85 |     177.95 |     178.67 |     176.52 |     176.55 |     175.24 |     172.37 |     177.51 |     177.09 |     178.68 |     173.08
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1167950 |    1157319 |    1175213 |    1177856 |    1149667 |    1172947 |    1179064 |    1167426 |    1168422 |    1161187 |    1157388 |    1172583 |    1168453 |    1179245 |    1160123
    num cache misses                 |       4623 |       4591 |       4614 |       4618 |       4669 |       4618 |       4606 |       4610 |       4602 |       4592 |       4580 |       4604 |       4616 |       4629 |       4591
    miss rate                        |      0.40% |      0.40% |      0.39% |      0.39% |      0.41% |      0.39% |      0.39% |      0.39% |      0.39% |      0.40% |      0.40% |      0.39% |      0.40% |      0.39% |      0.40%
    mpki                             |       0.70 |       0.68 |       0.70 |       0.70 |       0.69 |       0.70 |       0.70 |       0.70 |       0.70 |       0.69 |       0.68 |       0.70 |       0.70 |       0.70 |       0.68
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      71050 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      72.30 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      18.87 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       2867 |       2766 |       2861 |       2811 |       2834 |       2848 |       2826 |       2844 |       2826 |       2839 |       2817 |       2823 |       2808 |       2866 |       2794
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
