                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11    
  Instructions                       |    50117722 |    50111052 |    50102313 |    50105527 |    50110625 |    50111860 |    50103043 |    50114058 |    50121719 |    50116085 |    50103620 |    50108701
  Cycles                             |  1247813980 |  1247813980 |  1247813980 |  1247813980 |  1247813980 |  1247813980 |  1247813980 |  1247813980 |  1247813980 |  1247813980 |  1247813980 |  1247813980
  IPC                                |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                          |   469103000 |   469103000 |   469103000 |   469103000 |   469103000 |   469103000 |   469103000 |   469103000 |   469103000 |   469103000 |   469103000 |   469103000
  Idle time (ns)                     |         313 |          -6 |         221 |         171 |         146 |         407 |          -6 |         313 |          -6 |         489 |         221 |         359
  Idle time (%)                      |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10021306 |    10019972 |    10018224 |    10018867 |    10019887 |    10020134 |    10018370 |    10020574 |    10022009 |    10020979 |    10018486 |    10019502
  num incorrect                      |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1517 |        1441 |        1441 |        1441
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15334 |       15165 |       15165 |       15165
    num misses                       |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          52 |          48 |          48 |          48
    miss rate                        |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.34% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60036193 |    60028181 |    60017708 |    60021568 |    60027684 |    60029167 |    60018565 |    60031799 |    60040244 |    60034237 |    60019281 |    60025373
    num misses                       |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         128 |         126 |         126 |         126
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         180 |         174 |         174 |         174
    num misses                       |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         121 |         116 |         116 |         116
    miss rate                        |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      67.22% |      66.67% |      66.67% |      66.67%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15334 |       15165 |       15165 |       15165
    num cache misses                 |        5861 |        5439 |        6511 |        6315 |        6533 |        6499 |        6189 |        5841 |        5841 |        6199 |        6269 |        6033
    miss rate                        |      38.65% |      35.87% |      42.93% |      41.64% |      43.08% |      42.86% |      40.81% |      38.52% |      38.09% |      40.88% |      41.34% |      39.78%
    mpki                             |        0.12 |        0.11 |        0.13 |        0.13 |        0.13 |        0.13 |        0.12 |        0.12 |        0.12 |        0.12 |        0.13 |        0.12
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60036193 |    60028181 |    60017708 |    60021568 |    60027684 |    60029167 |    60018565 |    60031799 |    60040244 |    60034237 |    60019281 |    60025373
    num cache misses                 |    30860639 |    30856064 |    30856839 |    30856081 |    30860371 |    30860999 |    30855661 |    30859004 |    30859727 |    30860942 |    30857812 |    30860331
    miss rate                        |      51.40% |      51.40% |      51.41% |      51.41% |      51.41% |      51.41% |      51.41% |      51.40% |      51.40% |      51.41% |      51.41% |      51.41%
    mpki                             |      615.76 |      615.75 |      615.88 |      615.82 |      615.84 |      615.84 |      615.84 |      615.78 |      615.70 |      615.79 |      615.88 |      615.87
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    30866534 |    30861541 |    30863385 |    30862431 |    30866938 |    30867533 |    30861885 |    30864880 |    30865605 |    30867176 |    30864116 |    30866401
    num cache misses                 |    30864237 |    30859336 |    30860362 |    30859581 |    30863905 |    30864425 |    30858888 |    30862569 |    30863399 |    30864518 |    30861155 |    30863488
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      615.83 |      615.82 |      615.95 |      615.89 |      615.92 |      615.91 |      615.91 |      615.85 |      615.77 |      615.86 |      615.95 |      615.93
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    30864274 |    30859378 |    30860399 |    30859618 |    30863941 |    30864461 |    30858924 |    30862607 |    30863439 |    30864557 |    30861193 |    30863525
    num cache misses                 |        2600 |        2583 |        2601 |        2601 |        2602 |        2600 |        2592 |        2597 |        2669 |        2604 |        2600 |        2590
    miss rate                        |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
    mpki                             |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       31698 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       86.25 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       32.82 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |        1311 |        1300 |        1322 |        1325 |        1327 |        1321 |        1321 |        1318 |        1314 |        1323 |        1329 |        1312
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
