                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   60121303 |   60121633 |   60121454
  Cycles                             |   60478824 |   60478824 |   60478824
  IPC                                |       0.99 |       0.99 |       0.99
  Time (ns)                          |   22736400 |   22736400 |   22736400
  Idle time (ns)                     |        -84 |       -304 |       -304
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10021975 |   10022011 |   10021988
  num incorrect                      |       1481 |       1515 |       1494
  misprediction rate                 |      0.01% |      0.02% |      0.01%
  mpki                               |       0.02 |       0.03 |       0.02
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15271 |      15333 |      15292
    num misses                       |         50 |         52 |         51
    miss rate                        |      0.33% |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40104 |      40211 |      40126
    num misses                       |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        123 |        125 |        124
    num misses                       |        121 |        123 |        122
    miss rate                        |     98.37% |     98.40% |     98.39%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15271 |      15333 |      15292
    num cache misses                 |       1413 |       1448 |       1446
    miss rate                        |      9.25% |      9.44% |      9.46%
    mpki                             |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |           
    num cache accesses               |      40104 |      40211 |      40126
    num cache misses                 |       2259 |       2266 |       2249
    miss rate                        |      5.63% |      5.64% |      5.60%
    mpki                             |       0.04 |       0.04 |       0.04
  Cache L2                           |            |            |           
    num cache accesses               |       3714 |       3756 |       3737
    num cache misses                 |       2711 |       2700 |       2707
    miss rate                        |     72.99% |     71.88% |     72.44%
    mpki                             |       0.05 |       0.04 |       0.05
  Cache L3                           |            |            |           
    num cache accesses               |       2754 |       2744 |       2750
    num cache misses                 |       2444 |       2477 |       2449
    miss rate                        |     88.74% |     90.27% |     89.05%
    mpki                             |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |           
  num dram accesses                  |       7370 |          0 |          0
  average dram access latency (ns)   |      70.87 |        inf |        inf
  average dram queueing delay        |      17.44 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1128 |       1136 |       1128
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
