                                     | Core 0     | Core 1    
  Instructions                       |   60121629 |     122833
  Cycles                             |   60671940 |   60671940
  IPC                                |       0.99 |       0.00
  Time (ns)                          |   22809000 |   22809000
  Idle time (ns)                     |        -34 |        -34
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022009 |      22277
  num incorrect                      |       1517 |       1441
  misprediction rate                 |      0.02% |      6.08%
  mpki                               |       0.03 |      11.73
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15333 |      15164
    num misses                       |         52 |         48
    miss rate                        |      0.34% |      0.32%
    mpki                             |       0.00 |       0.39
  D-TLB                              |            |           
    num accesses                     |      40209 |      39846
    num misses                       |         76 |         75
    miss rate                        |      0.19% |      0.19%
    mpki                             |       0.00 |       0.61
  L2 TLB                             |            |           
    num accesses                     |        128 |        123
    num misses                       |        123 |        118
    miss rate                        |     96.09% |     95.93%
    mpki                             |       0.00 |       0.96
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15333 |      15164
    num cache misses                 |        956 |        897
    miss rate                        |      6.23% |      5.92%
    mpki                             |       0.02 |       7.30
  Cache L1-D                         |            |           
    num cache accesses               |      40209 |      39846
    num cache misses                 |       1948 |       1941
    miss rate                        |      4.84% |      4.87%
    mpki                             |       0.03 |      15.80
  Cache L2                           |            |           
    num cache accesses               |       2942 |       2874
    num cache misses                 |       2561 |       2484
    miss rate                        |     87.05% |     86.43%
    mpki                             |       0.04 |      20.22
  Cache L3                           |            |           
    num cache accesses               |       2600 |       2521
    num cache misses                 |       2477 |       2411
    miss rate                        |     95.27% |     95.64%
    mpki                             |       0.04 |      19.63
DRAM summary                         |            |           
  num dram accesses                  |       4888 |          0
  average dram access latency (ns)   |      65.85 |        inf
  average dram queueing delay        |      12.42 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1121 |       1115
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
