                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   12621624 |   12620989 |   12620848 |   12619985
  Cycles                             |   17174024 |   17174024 |   17174024 |   17174024
  IPC                                |       0.73 |       0.73 |       0.73 |       0.73
  Time (ns)                          |    6456400 |    6456400 |    6456400 |    6456400
  Idle time (ns)                     |         16 |         32 |         -1 |        -18
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2522009 |    2521934 |    2521920 |    2521777
  num incorrect                      |       1516 |       1462 |       1451 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.12 |       0.11 |       0.11
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15333 |      15207 |      15185 |      15164
    num misses                       |         52 |         49 |         49 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      40204 |      39926 |      39901 |      39841
    num misses                       |         74 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |        126 |        122 |        122 |        121
    num misses                       |        121 |        117 |        117 |        116
    miss rate                        |     96.03% |     95.90% |     95.90% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15333 |      15207 |      15185 |      15164
    num cache misses                 |       1604 |       1603 |       1579 |       1586
    miss rate                        |     10.46% |     10.54% |     10.40% |     10.46%
    mpki                             |       0.13 |       0.13 |       0.13 |       0.13
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40204 |      39926 |      39901 |      39841
    num cache misses                 |       2816 |       2798 |       2801 |       2821
    miss rate                        |      7.00% |      7.01% |      7.02% |      7.08%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22
  Cache L2                           |            |            |            |           
    num cache accesses               |       4458 |       4438 |       4418 |       4443
    num cache misses                 |       2772 |       2706 |       2698 |       2682
    miss rate                        |     62.18% |     60.97% |     61.07% |     60.36%
    mpki                             |       0.22 |       0.21 |       0.21 |       0.21
  Cache L3                           |            |            |            |           
    num cache accesses               |       2814 |       2747 |       2740 |       2722
    num cache misses                 |       2479 |       2431 |       2426 |       2412
    miss rate                        |     88.10% |     88.50% |     88.54% |     88.61%
    mpki                             |       0.20 |       0.19 |       0.19 |       0.19
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9748 |          0 |          0 |          0
  average dram access latency (ns)   |      71.82 |        inf |        inf |        inf
  average dram queueing delay        |      18.40 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1133 |       1126 |       1124 |       1123
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
