                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   60121629 |   60120833 |   60117010 |   60120883 |   60106153
  Cycles                             |  100728880 |  100728880 |  100728880 |  100728880 |  100728880
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   37868000 |   37868000 |   37868000 |   37868000 |   37868000
  Idle time (ns)                     |        -93 |         -1 |        -93 |        172 |        -59
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022009 |   10021920 |   10021303 |   10021928 |   10019493
  num incorrect                      |       1517 |       1451 |       1441 |       1453 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15333 |      15184 |      15164 |      15188 |      15164
    num misses                       |         52 |         49 |         48 |         49 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40209 |      39857 |      39846 |      39923 |      39846
    num misses                       |         76 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        128 |        124 |        123 |        124 |        123
    num misses                       |        123 |        119 |        118 |        119 |        118
    miss rate                        |     96.09% |     95.97% |     95.93% |     95.97% |     95.93%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15333 |      15184 |      15164 |      15188 |      15164
    num cache misses                 |       3484 |       3480 |       3428 |       3478 |       3383
    miss rate                        |     22.72% |     22.92% |     22.61% |     22.90% |     22.31%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40209 |      39857 |      39846 |      39923 |      39846
    num cache misses                 |       3450 |       3507 |       3463 |       3540 |       3401
    miss rate                        |      8.58% |      8.80% |      8.69% |      8.87% |      8.54%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       6970 |       7019 |       6923 |       7051 |       6816
    num cache misses                 |       3400 |       3326 |       3310 |       3344 |       3293
    miss rate                        |     48.78% |     47.39% |     47.81% |     47.43% |     48.31%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.05
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3437 |       3361 |       3345 |       3379 |       3327
    num cache misses                 |       2477 |       2425 |       2411 |       2427 |       2411
    miss rate                        |     72.07% |     72.15% |     72.08% |     71.83% |     72.47%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12151 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      70.05 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      16.62 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1140 |       1134 |       1136 |       1140 |       1138
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
