                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
    num cache misses                 |    4667356 |    4659855 |    4670328 |    4680942 |    4676276 |    4679312 |    4672033 |    4653343 |    4569396 |    4683370 |    4675171 |    4636176 |    4630922 |    4598670
    miss rate                        |     53.94% |     53.92% |     53.80% |     54.19% |     53.84% |     54.18% |     54.23% |     53.98% |     53.32% |     54.30% |     54.15% |     54.10% |     53.93% |     53.61%
    mpki                             |     165.54 |     165.06 |     165.69 |     166.01 |     165.88 |     165.98 |     165.62 |     164.65 |     158.88 |     166.12 |     165.71 |     163.27 |     163.14 |     160.89
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4668151 |    4660660 |    4671147 |    4681738 |    4677054 |    4680116 |    4672847 |    4654175 |    4570258 |    4684186 |    4675973 |    4636964 |    4631743 |    4599532
    num cache misses                 |      35342 |      35409 |      35365 |      35402 |      35377 |      35396 |      35427 |      35408 |      35795 |      35387 |      35423 |      35354 |      35394 |      35475
    miss rate                        |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.78% |      0.76% |      0.76% |      0.76% |      0.76% |      0.77%
    mpki                             |       1.25 |       1.25 |       1.25 |       1.26 |       1.25 |       1.26 |       1.26 |       1.25 |       1.24 |       1.26 |       1.26 |       1.25 |       1.25 |       1.24
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     630468 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.36 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.93 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      33083 |      33214 |      33124 |      33134 |      33129 |      33153 |      33156 |      33200 |      33260 |      33149 |      33129 |      32980 |      33031 |      33105
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
