                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |      36378 |      36377 |      39781 |      36109 |      39787 |      35494 |      36378
  Cycles                             |     177688 |     177688 |     177688 |     177688 |     177688 |     177688 |     177688
  IPC                                |       0.20 |       0.20 |       0.22 |       0.20 |       0.22 |       0.20 |       0.20
  Time (ns)                          |      66800 |      66800 |      66800 |      66800 |      66800 |      66800 |      66800
  Idle time (ns)                     |         -8 |        -22 |        -24 |        166 |        106 |         91 |        -35
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.2% |       0.2% |       0.1% |      -0.1%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |       8426 |       8425 |       8597 |       8403 |       8597 |       8269 |       8426
  num incorrect                      |        960 |        960 |       1013 |        948 |       1013 |        926 |        960
  misprediction rate                 |     10.23% |     10.23% |     10.54% |     10.14% |     10.54% |     10.07% |     10.23%
  mpki                               |      26.39 |      26.39 |      25.46 |      26.25 |      25.46 |      26.09 |      26.39
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |       4458 |       4458 |       4782 |       4422 |       4784 |       4330 |       4458
    num misses                       |         39 |         39 |         42 |         38 |         43 |         38 |         39
    miss rate                        |      0.87% |      0.87% |      0.88% |      0.86% |      0.90% |      0.88% |      0.87%
    mpki                             |       1.07 |       1.07 |       1.06 |       1.05 |       1.08 |       1.07 |       1.07
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |       8773 |       8773 |      10462 |       8679 |      10463 |       8621 |       8773
    num misses                       |         22 |         22 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.25% |      0.25% |      0.21% |      0.25% |      0.21% |      0.26% |      0.25%
    mpki                             |       0.60 |       0.60 |       0.55 |       0.61 |       0.55 |       0.62 |       0.60
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |         61 |         61 |         64 |         60 |         65 |         60 |         61
    num misses                       |         61 |         61 |         64 |         60 |         65 |         60 |         61
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.68 |       1.68 |       1.61 |       1.66 |       1.63 |       1.69 |       1.68
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |       4458 |       4458 |       4782 |       4422 |       4784 |       4330 |       4458
    num cache misses                 |       2040 |       2014 |       2130 |       2049 |       2162 |       2008 |       2131
    miss rate                        |     45.76% |     45.18% |     44.54% |     46.34% |     45.19% |     46.37% |     47.80%
    mpki                             |      56.08 |      55.36 |      53.54 |      56.74 |      54.34 |      56.57 |      58.58
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |       8773 |       8773 |      10462 |       8679 |      10463 |       8621 |       8773
    num cache misses                 |       1431 |       1435 |       1406 |       1429 |       1422 |       1409 |       1446
    miss rate                        |     16.31% |     16.36% |     13.44% |     16.47% |     13.59% |     16.34% |     16.48%
    mpki                             |      39.34 |      39.45 |      35.34 |      39.57 |      35.74 |      39.70 |      39.75
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |       3485 |       3463 |       3556 |       3491 |       3605 |       3431 |       3592
    num cache misses                 |        872 |        908 |        902 |        864 |        909 |        880 |        860
    miss rate                        |     25.02% |     26.22% |     25.37% |     24.75% |     25.21% |     25.65% |     23.94%
    mpki                             |      23.97 |      24.96 |      22.67 |      23.93 |      22.85 |      24.79 |      23.64
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |        890 |        926 |        926 |        880 |        933 |        896 |        879
    num cache misses                 |        718 |        718 |        775 |        698 |        777 |        693 |        718
    miss rate                        |     80.67% |     77.54% |     83.69% |     79.32% |     83.28% |     77.34% |     81.68%
    mpki                             |      19.74 |      19.74 |      19.48 |      19.33 |      19.53 |      19.52 |      19.74
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |       5097 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     230.86 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     177.43 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     64.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |        161 |        158 |        175 |        157 |        171 |        157 |        160
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
