                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   78256639 |   78232002 |   78256506 |   78256227 |   78248877 |   78256678 |   78256622
  Cycles                             |   31855628 |   31855628 |   31855628 |   31855628 |   31855628 |   31855628 |   31855628
  IPC                                |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46
  Time (ns)                          |   11975800 |   11975800 |   11975800 |   11975800 |   11975800 |   11975800 |   11975800
  Idle time (ns)                     |         -9 |         71 |         -6 |         73 |         71 |         11 |        -15
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |    2171904 |    2171207 |    2171885 |    2171870 |    2171669 |    2171907 |    2171901
  num incorrect                      |       1018 |        981 |       1005 |        981 |        981 |       1022 |       1016
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    8525006 |    8522311 |    8524986 |    8524942 |    8524144 |    8525013 |    8525006
    num misses                       |         42 |         40 |         41 |         40 |         40 |         43 |         42
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   36055633 |   36044301 |   36055565 |   36055440 |   36052060 |   36055649 |   36055625
    num misses                       |         71 |         69 |         71 |         69 |         69 |         71 |         71
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        113 |        109 |        112 |        109 |        109 |        114 |        113
    num misses                       |        111 |        109 |        110 |        109 |        109 |        112 |        111
    miss rate                        |     98.23% |    100.00% |     98.21% |    100.00% |    100.00% |     98.25% |     98.23%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    8525006 |    8522311 |    8524986 |    8524942 |    8524144 |    8525013 |    8525006
    num cache misses                 |        469 |        437 |        456 |        437 |        437 |        474 |        469
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   36055633 |   36044301 |   36055565 |   36055440 |   36052060 |   36055649 |   36055625
    num cache misses                 |    2119624 |    2118932 |    2119613 |    2119597 |    2119396 |    2119624 |    2119623
    miss rate                        |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88%
    mpki                             |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |    2120116 |    2119386 |    2120088 |    2120051 |    2119850 |    2120121 |    2120113
    num cache misses                 |       3823 |       3776 |       3799 |       3776 |       3776 |       3828 |       3822
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |       3847 |       3794 |       3819 |       3794 |       3794 |       3852 |       3844
    num cache misses                 |       3821 |       3776 |       3797 |       3776 |       3776 |       3826 |       3820
    miss rate                        |     99.32% |     99.53% |     99.42% |     99.53% |     99.53% |     99.33% |     99.38%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      13301 |          0 |          0 |          0 |      13291 |          0 |          0
  average dram access latency (ns)   |      69.13 |        inf |        inf |        inf |      67.87 |        inf |        inf
  average dram queueing delay        |      15.70 |       0.00 |       0.00 |       0.00 |      14.44 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |        165 |        151 |        154 |        151 |        151 |        165 |        164
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
