                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   60120821 |   60121629 |   60120924 |   60113491
  Cycles                             |   80508092 |   80508092 |   80508092 |   80508092
  IPC                                |       0.75 |       0.75 |       0.75 |       0.75
  Time (ns)                          |   30266200 |   30266200 |   30266200 |   30266200
  Idle time (ns)                     |         -9 |        -32 |         14 |        -32
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10021918 |   10022009 |   10021929 |   10020717
  num incorrect                      |       1450 |       1517 |       1456 |       1441
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.03 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15184 |      15333 |      15194 |      15164
    num misses                       |         49 |         52 |         49 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      39849 |      40209 |      39937 |      39846
    num misses                       |         75 |         76 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        124 |        128 |        124 |        123
    num misses                       |        119 |        123 |        119 |        118
    miss rate                        |     95.97% |     96.09% |     95.97% |     95.93%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15184 |      15333 |      15194 |      15164
    num cache misses                 |       1586 |       1615 |       1579 |       1478
    miss rate                        |     10.45% |     10.53% |     10.39% |      9.75%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      39849 |      40209 |      39937 |      39846
    num cache misses                 |       2647 |       2641 |       2641 |       2616
    miss rate                        |      6.64% |      6.57% |      6.61% |      6.57%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L2                           |            |            |            |           
    num cache accesses               |       4269 |       4295 |       4259 |       4132
    num cache misses                 |       2760 |       2842 |       2773 |       2754
    miss rate                        |     64.65% |     66.17% |     65.11% |     66.65%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |       2798 |       2883 |       2814 |       2793
    num cache misses                 |       2425 |       2477 |       2427 |       2411
    miss rate                        |     86.67% |     85.92% |     86.25% |     86.32%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9740 |          0 |          0 |          0
  average dram access latency (ns)   |      71.87 |        inf |        inf |        inf
  average dram queueing delay        |      18.44 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1127 |       1134 |       1127 |       1129
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
