                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  106359345 |  106241405 |  106145380 |  108033191 |  107897310 |  107763534 |  107575960 |  107402912 |  107277125 |  107158729 |  107066309 |  106978500 |  106878580 |  106803118 |  106705646 |  106522256
  Cycles                             |  518055748 |  518055748 |  518055748 |  518055748 |  518055748 |  518055748 |  518055748 |  518055748 |  518055748 |  518055748 |  518055748 |  518055748 |  518055748 |  518055748 |  518055748 |  518055748
  IPC                                |       0.21 |       0.21 |       0.20 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |  194757800 |  194757800 |  194757800 |  194757800 |  194757800 |  194757800 |  194757800 |  194757800 |  194757800 |  194757800 |  194757800 |  194757800 |  194757800 |  194757800 |  194757800 |  194757800
  Idle time (ns)                     |          5 |        -73 |          4 |        -90 |         58 |         33 |         -9 |         -9 |        -28 |         86 |         -9 |        -35 |        -77 |         54 |        -90 |        -12
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   16836408 |   16817082 |   16802195 |   17101784 |   17080371 |   17052828 |   17024086 |   17000153 |   16982237 |   16962125 |   16945481 |   16931314 |   16917465 |   16907020 |   16892442 |   16862945
  num incorrect                      |     276923 |     276405 |     276178 |     281892 |     281095 |     280396 |     279984 |     279787 |     279629 |     279347 |     278912 |     278623 |     278506 |     278418 |     278244 |     277495
  misprediction rate                 |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62%
  mpki                               |       2.60 |       2.60 |       2.60 |       2.61 |       2.61 |       2.60 |       2.60 |       2.61 |       2.61 |       2.61 |       2.61 |       2.60 |       2.61 |       2.61 |       2.61 |       2.61
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
