                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   60121050 |   60121357 |   60121595 |   60121661
  Cycles                             |   80515806 |   80515806 |   80515806 |   80515806
  IPC                                |       0.75 |       0.75 |       0.75 |       0.75
  Time (ns)                          |   30269100 |   30269100 |   30269100 |   30269100
  Idle time (ns)                     |        -93 |         78 |        168 |        -93
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10021944 |   10021982 |   10022010 |   10022010
  num incorrect                      |       1467 |       1486 |       1516 |       1516
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.02%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15223 |      15280 |      15332 |      15333
    num misses                       |         49 |         50 |         52 |         52
    miss rate                        |      0.32% |      0.33% |      0.34% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      39992 |      40127 |      40255 |      40227
    num misses                       |        158 |        159 |        159 |        159
    miss rate                        |      0.40% |      0.40% |      0.39% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        207 |        209 |        211 |        211
    num misses                       |        123 |        125 |        127 |        127
    miss rate                        |     59.42% |     59.81% |     60.19% |     60.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15223 |      15280 |      15332 |      15333
    num cache misses                 |       1562 |       1635 |       1653 |       1636
    miss rate                        |     10.26% |     10.70% |     10.78% |     10.67%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      39992 |      40127 |      40255 |      40227
    num cache misses                 |       2650 |       2693 |       2689 |       2664
    miss rate                        |      6.63% |      6.71% |      6.68% |      6.62%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L2                           |            |            |            |           
    num cache accesses               |       4252 |       4366 |       4383 |       4339
    num cache misses                 |       2766 |       2783 |       2820 |       2830
    miss rate                        |     65.05% |     63.74% |     64.34% |     65.22%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |       2808 |       2823 |       2862 |       2871
    num cache misses                 |       2430 |       2444 |       2476 |       2477
    miss rate                        |     86.54% |     86.57% |     86.51% |     86.28%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9827 |          0 |          0 |          0
  average dram access latency (ns)   |      72.19 |        inf |        inf |        inf
  average dram queueing delay        |      18.76 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1128 |       1127 |       1135 |       1135
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
