                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   28088815 |   27913043 |   27992390 |   27985870 |   28010861 |   27887493 |   28016988 |   27898588 |   27903375 |   28262322 |   28175228 |   28759994 |   27893361
  Cycles                             |  196826434 |  196826434 |  196826434 |  196826434 |  196826434 |  196826434 |  196826434 |  196826434 |  196826434 |  196826434 |  196826434 |  196826434 |  196826434
  IPC                                |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.15 |       0.14
  Time (ns)                          |   73994900 |   73994900 |   73994900 |   73994900 |   73994900 |   73994900 |   73994900 |   73994900 |   73994900 |   73994900 |   73994900 |   73994900 |   73994900
  Idle time (ns)                     |         43 |          7 |        -84 |        232 |        102 |          7 |        291 |        177 |          2 |         43 |        177 |        -84 |         85
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1046585 |    1043159 |    1044706 |    1044579 |    1045065 |    1042808 |    1045184 |    1042924 |    1042974 |    1049967 |    1048269 |    1059719 |    1042872
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7951 |       7955 |       7951 |       7951 |       7955 |       7955 |       8006 |       7951
  misprediction rate                 |      0.75% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.75% |      0.75% |      0.75% |      0.76%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.29 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.29
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2824443 |    2810869 |    2816997 |    2816494 |    2818422 |    2809032 |    2818895 |    2809795 |    2810123 |    2837841 |    2831115 |    2876325 |    2809438
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15429394 |   15338046 |   15379273 |   15375895 |   15388882 |   15323804 |   15392067 |   15330159 |   15332900 |   15519573 |   15474309 |   15778155 |   15327166
    num misses                       |       4844 |       4462 |       4635 |       4622 |       4676 |       4391 |       4692 |       4391 |       4391 |       5239 |       5048 |       6344 |       4391
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03%
    mpki                             |       0.17 |       0.16 |       0.17 |       0.17 |       0.17 |       0.16 |       0.17 |       0.16 |       0.16 |       0.19 |       0.18 |       0.22 |       0.16
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4905 |       4523 |       4696 |       4683 |       4737 |       4452 |       4753 |       4452 |       4452 |       5300 |       5109 |       6407 |       4452
    num misses                       |        316 |        316 |        316 |        316 |        316 |        308 |        316 |        308 |        308 |        316 |        316 |        333 |        308
    miss rate                        |      6.44% |      6.99% |      6.73% |      6.75% |      6.67% |      6.92% |      6.65% |      6.92% |      6.92% |      5.96% |      6.19% |      5.20% |      6.92%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2824443 |    2810869 |    2816997 |    2816494 |    2818422 |    2809032 |    2818895 |    2809795 |    2810123 |    2837841 |    2831115 |    2876325 |    2809438
    num cache misses                 |    1709157 |    1710084 |    1696130 |    1685710 |    1689326 |    1700737 |    1690680 |    1692208 |    1690311 |    1643220 |    1650569 |    1578714 |    1678807
    miss rate                        |     60.51% |     60.84% |     60.21% |     59.85% |     59.94% |     60.55% |     59.98% |     60.23% |     60.15% |     57.90% |     58.30% |     54.89% |     59.76%
    mpki                             |      60.85 |      61.26 |      60.59 |      60.23 |      60.31 |      60.99 |      60.34 |      60.66 |      60.58 |      58.14 |      58.58 |      54.89 |      60.19
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15429394 |   15338046 |   15379273 |   15375895 |   15388882 |   15323804 |   15392067 |   15330159 |   15332900 |   15519573 |   15474309 |   15778155 |   15327166
    num cache misses                 |    6458122 |    6497112 |    6476453 |    6464457 |    6478917 |    6523171 |    6466045 |    6518636 |    6494727 |    6450166 |    6452147 |    6534177 |    6484301
