                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
    mpki                             |       1.06 |       1.04 |       1.06 |       0.93 |       0.87 |       1.05 |       0.94 |       1.06 |       1.06 |       1.05 |       0.99 |       1.00 |       1.07 |       1.04
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13317 |      13147 |      13362 |      11785 |      10991 |      13161 |      11889 |      13332 |      13317 |      13217 |      12458 |      12615 |      13500 |      13070
    num cache misses                 |       2643 |       2634 |       2648 |       2626 |       2674 |       2636 |       2625 |       2642 |       2641 |       2646 |       2637 |       2630 |       2648 |       2646
    miss rate                        |     19.85% |     20.03% |     19.82% |     22.28% |     24.33% |     20.03% |     22.08% |     19.82% |     19.83% |     20.02% |     21.17% |     20.85% |     19.61% |     20.24%
    mpki                             |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      37357 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      98.02 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      44.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1355 |       1357 |       1375 |       1345 |       1323 |       1358 |       1340 |       1367 |       1368 |       1372 |       1356 |       1347 |       1374 |       1364
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
