                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |    6728739 |    6709793 |    6713583 |    6714472 |    6724046 |    6699075 |    6700948
  Cycles                             |   21679000 |   21679000 |   21679000 |   21679000 |   21679000 |   21679000 |   21679000
  IPC                                |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Time (ns)                          |    8150000 |    8150000 |    8150000 |    8150000 |    8150000 |    8150000 |    8150000
  Idle time (ns)                     |        -41 |        -41 |         80 |         52 |         80 |         40 |         69
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |     259678 |     259250 |     259325 |     259342 |     259531 |     259039 |     259075
  num incorrect                      |       3961 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.50% |      1.49% |      1.49% |      1.49% |      1.48% |      1.49% |      1.49%
  mpki                               |       0.59 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |     680639 |     679110 |     679404 |     679473 |     680215 |     678281 |     678425
    num misses                       |         62 |         60 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    3650198 |    3640393 |    3642370 |    3642835 |    3647816 |    3634830 |    3635802
    num misses                       |        107 |        101 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        169 |        161 |        161 |        161 |        161 |        161 |        161
    num misses                       |        147 |        146 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |     680639 |     679110 |     679404 |     679473 |     680215 |     678281 |     678425
    num cache misses                 |     275176 |     280289 |     277298 |     277692 |     274228 |     281787 |     279522
    miss rate                        |     40.43% |     41.27% |     40.81% |     40.87% |     40.31% |     41.54% |     41.20%
    mpki                             |      40.90 |      41.77 |      41.30 |      41.36 |      40.78 |      42.06 |      41.71
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |    3650198 |    3640393 |    3642370 |    3642835 |    3647816 |    3634830 |    3635802
    num cache misses                 |      31698 |      32513 |      32307 |      33126 |      33309 |      33590 |      33267
    miss rate                        |      0.87% |      0.89% |      0.89% |      0.91% |      0.91% |      0.92% |      0.91%
    mpki                             |       4.71 |       4.85 |       4.81 |       4.93 |       4.95 |       5.01 |       4.96
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |     306898 |     312824 |     309627 |     310840 |     307559 |     315397 |     312810
    num cache misses                 |      22980 |      23337 |      23227 |      23420 |      23350 |      23057 |      23111
    miss rate                        |      7.49% |      7.46% |      7.50% |      7.53% |      7.59% |      7.31% |      7.39%
    mpki                             |       3.42 |       3.48 |       3.46 |       3.49 |       3.47 |       3.44 |       3.45
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |      23027 |      23379 |      23270 |      23457 |      23392 |      23098 |      23148
    num cache misses                 |       4396 |       4335 |       4335 |       4335 |       4335 |       4335 |       4335
    miss rate                        |     19.09% |     18.54% |     18.63% |     18.48% |     18.53% |     18.77% |     18.73%
    mpki                             |       0.65 |       0.65 |       0.65 |       0.65 |       0.64 |       0.65 |       0.65
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      30406 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      65.51 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      12.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1831 |       1851 |       1862 |       1844 |       1823 |       1856 |       1823
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
