                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |     352.88 |     343.02 |     326.63 |     348.56 |     343.32 |     353.32 |     255.70 |     354.82 |     346.78 |     357.58 |     359.00 |     351.69 |     354.04 |      50.12 |     335.55 |     348.59
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      29910 |      27732 |      31126 |      32016 |      31560 |      31457 |      17112 |      32542 |      32105 |      31236 |      31295 |      29597 |      30188 |       3589 |      32043 |      30030
    num cache misses                 |      29153 |      26831 |      30298 |      31200 |      30693 |      30655 |      16250 |      31729 |      31245 |      30530 |      30493 |      28817 |      29387 |       2673 |      31244 |      29125
    miss rate                        |     97.47% |     96.75% |     97.34% |     97.45% |     97.25% |     97.45% |     94.96% |     97.50% |     97.32% |     97.74% |     97.44% |     97.36% |     97.35% |     74.48% |     97.51% |     96.99%
    mpki                             |     362.62 |     352.32 |     335.30 |     358.84 |     352.53 |     363.48 |     269.23 |     364.48 |     356.40 |     369.07 |     369.85 |     362.37 |     363.50 |      66.68 |     344.94 |     357.24
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      29173 |      26852 |      30319 |      31218 |      30712 |      30674 |      16271 |      31748 |      31264 |      30550 |      30513 |      28838 |      29407 |       2692 |      31264 |      29146
    num cache misses                 |        726 |        732 |        750 |        732 |        731 |        732 |        731 |        734 |        728 |        735 |        736 |        733 |        732 |        720 |        776 |        730
    miss rate                        |      2.49% |      2.73% |      2.47% |      2.34% |      2.38% |      2.39% |      4.49% |      2.31% |      2.33% |      2.41% |      2.41% |      2.54% |      2.49% |     26.75% |      2.48% |      2.50%
    mpki                             |       9.03 |       9.61 |       8.30 |       8.42 |       8.40 |       8.68 |      12.11 |       8.43 |       8.30 |       8.89 |       8.93 |       9.22 |       9.05 |      17.96 |       8.57 |       8.95
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      12021 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     128.41 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      74.98 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     15.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        187 |        191 |        189 |        199 |        194 |        193 |        191 |        190 |        190 |        194 |        197 |        198 |        188 |        189 |        205 |        195
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
