                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |     138397 |     120602 |     137626 |     120688 |     120677 |     118825 |     120351 |     122890 |     118769
  Cycles                             |     760494 |     760494 |     760494 |     760494 |     760494 |     760494 |     760494 |     760494 |     760494
  IPC                                |       0.18 |       0.16 |       0.18 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Time (ns)                          |     285900 |     285900 |     285900 |     285900 |     285900 |     285900 |     285900 |     285900 |     285900
  Idle time (ns)                     |       -110 |        -12 |        -84 |         14 |         98 |        259 |        -35 |       -110 |        390
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.1% |      -0.0% |      -0.0% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |      30327 |      21913 |      30243 |      21918 |      21917 |      21572 |      21895 |      23016 |      21554
  num incorrect                      |       1519 |       1432 |       1454 |       1435 |       1434 |       1363 |       1415 |       1438 |       1362
  misprediction rate                 |      4.77% |      6.13% |      4.59% |      6.14% |      6.14% |      5.94% |      6.07% |      5.88% |      5.94%
  mpki                               |      10.98 |      11.87 |      10.56 |      11.89 |      11.88 |      11.47 |      11.76 |      11.70 |      11.47
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15458 |      15146 |      15309 |      15161 |      15158 |      14997 |      15108 |      15162 |      14995
    num misses                       |         52 |         47 |         49 |         48 |         48 |         45 |         45 |         48 |         45
    miss rate                        |      0.34% |      0.31% |      0.32% |      0.32% |      0.32% |      0.30% |      0.30% |      0.32% |      0.30%
    mpki                             |       0.38 |       0.39 |       0.36 |       0.40 |       0.40 |       0.38 |       0.37 |       0.39 |       0.38
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      40209 |      39751 |      39913 |      39790 |      39830 |      39506 |      39702 |      39846 |      39500
    num misses                       |         72 |         71 |         71 |         71 |         71 |         71 |         71 |         71 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.52 |       0.59 |       0.52 |       0.59 |       0.59 |       0.60 |       0.59 |       0.58 |       0.60
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        124 |        118 |        120 |        119 |        119 |        116 |        116 |        119 |        116
    num misses                       |        122 |        116 |        118 |        117 |        117 |        114 |        114 |        117 |        114
    miss rate                        |     98.39% |     98.31% |     98.33% |     98.32% |     98.32% |     98.28% |     98.28% |     98.32% |     98.28%
    mpki                             |       0.88 |       0.96 |       0.86 |       0.97 |       0.97 |       0.96 |       0.95 |       0.95 |       0.96
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15458 |      15146 |      15309 |      15161 |      15158 |      14997 |      15108 |      15162 |      14995
    num cache misses                 |       5028 |       5877 |       5369 |       5884 |       5988 |       5687 |       5456 |       5831 |       5064
    miss rate                        |     32.53% |     38.80% |     35.07% |     38.81% |     39.50% |     37.92% |     36.11% |     38.46% |     33.77%
    mpki                             |      36.33 |      48.73 |      39.01 |      48.75 |      49.62 |      47.86 |      45.33 |      47.45 |      42.64
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40209 |      39751 |      39913 |      39790 |      39830 |      39506 |      39702 |      39846 |      39500
    num cache misses                 |       5931 |       6424 |       6136 |       6389 |       6436 |       6352 |       6255 |       6394 |       6074
    miss rate                        |     14.75% |     16.16% |     15.37% |     16.06% |     16.16% |     16.08% |     15.75% |     16.05% |     15.38%
    mpki                             |      42.85 |      53.27 |      44.58 |      52.94 |      53.33 |      53.46 |      51.97 |      52.03 |      51.14
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10996 |      12333 |      11541 |      12303 |      12459 |      12071 |      11745 |      12258 |      11171
    num cache misses                 |       6530 |       6961 |       6679 |       6837 |       6990 |       7008 |       6656 |       6897 |       6704
    miss rate                        |     59.39% |     56.44% |     57.87% |     55.57% |     56.10% |     58.06% |     56.67% |     56.27% |     60.01%
    mpki                             |      47.18 |      57.72 |      48.53 |      56.65 |      57.92 |      58.98 |      55.30 |      56.12 |      56.45
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6568 |       6995 |       6716 |       6869 |       7027 |       7041 |       6691 |       6932 |       6737
    num cache misses                 |       2540 |       2464 |       2479 |       2455 |       2470 |       2427 |       2418 |       2466 |       2412
    miss rate                        |     38.67% |     35.23% |     36.91% |     35.74% |     35.15% |     34.47% |     36.14% |     35.57% |     35.80%
    mpki                             |      18.35 |      20.43 |      18.01 |      20.34 |      20.47 |      20.42 |      20.09 |      20.07 |      20.31
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      22234 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      84.06 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      30.63 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     65.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1198 |       1200 |       1193 |       1199 |       1200 |       1204 |       1188 |       1199 |       1191
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
