                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num cache misses                 |      12785 |      13901 |      13885 |      12437 |      12570 |      13418 |      14032 |      13933 |      13891 |      13701 |      13773 |      12834 |      13688 |      14079 |      13810
    miss rate                        |     81.94% |     82.23% |     81.40% |     82.27% |     82.22% |     84.27% |     82.75% |     84.15% |     82.17% |     83.90% |     81.31% |     81.87% |     81.95% |     82.40% |     81.34%
    mpki                             |      92.44 |     115.13 |     115.10 |      89.84 |      91.20 |     105.84 |     115.08 |     109.69 |     114.83 |     110.81 |     114.20 |      92.78 |     113.81 |     116.75 |     114.66
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12822 |      13936 |      13919 |      12474 |      12606 |      13453 |      14066 |      13967 |      13926 |      13736 |      13806 |      12871 |      13721 |      14113 |      13843
    num cache misses                 |       2691 |       2640 |       2636 |       2702 |       2658 |       2634 |       2638 |       2641 |       2636 |       2636 |       2624 |       2692 |       2594 |       2626 |       2608
    miss rate                        |     20.99% |     18.94% |     18.94% |     21.66% |     21.09% |     19.58% |     18.75% |     18.91% |     18.93% |     19.19% |     19.01% |     20.92% |     18.91% |     18.61% |     18.84%
    mpki                             |      19.46 |      21.86 |      21.85 |      19.52 |      19.28 |      20.78 |      21.63 |      20.79 |      21.79 |      21.32 |      21.76 |      19.46 |      21.57 |      21.78 |      21.65
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      40132 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     100.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      47.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     72.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1333 |       1352 |       1351 |       1334 |       1335 |       1340 |       1351 |       1353 |       1359 |       1344 |       1356 |       1331 |       1348 |       1351 |       1354
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
