                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |     121648 |     121274 |     121082 |     120595 |     120450 |     118777
  Cycles                             |     800394 |     800394 |     800394 |     800394 |     800394 |     800394
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |     300900 |     300900 |     300900 |     300900 |     300900 |     300900
  Idle time (ns)                     |       -508 |        647 |       -508 |        536 |        -68 |         46
  Idle time (%)                      |      -0.2% |       0.2% |      -0.2% |       0.2% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |      22012 |      21971 |      21949 |      21910 |      21904 |      21552
  num incorrect                      |       1514 |       1476 |       1466 |       1435 |       1428 |       1366
  misprediction rate                 |      6.44% |      6.30% |      6.26% |      6.15% |      6.12% |      5.96%
  mpki                               |      12.45 |      12.17 |      12.11 |      11.90 |      11.86 |      11.50
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15330 |      15259 |      15226 |      15145 |      15127 |      14995
    num misses                       |         52 |         50 |         49 |         47 |         45 |         45
    miss rate                        |      0.34% |      0.33% |      0.32% |      0.31% |      0.30% |      0.30%
    mpki                             |       0.43 |       0.41 |       0.40 |       0.39 |       0.37 |       0.38
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      40214 |      40066 |      39989 |      39781 |      39720 |      39492
    num misses                       |         77 |         77 |         76 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.64
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        129 |        127 |        125 |        123 |        121 |        121
    num misses                       |        123 |        121 |        119 |        117 |        115 |        115
    miss rate                        |     95.35% |     95.28% |     95.20% |     95.12% |     95.04% |     95.04%
    mpki                             |       1.01 |       1.00 |       0.98 |       0.97 |       0.95 |       0.97
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15330 |      15259 |      15226 |      15145 |      15127 |      14995
    num cache misses                 |       4396 |       4340 |       4406 |       4330 |       4213 |       4137
    miss rate                        |     28.68% |     28.44% |     28.94% |     28.59% |     27.85% |     27.59%
    mpki                             |      36.14 |      35.79 |      36.39 |      35.91 |      34.98 |      34.83
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      40214 |      40066 |      39989 |      39781 |      39720 |      39492
    num cache misses                 |       3980 |       4054 |       4057 |       3967 |       3877 |       3885
    miss rate                        |      9.90% |     10.12% |     10.15% |      9.97% |      9.76% |      9.84%
    mpki                             |      32.72 |      33.43 |      33.51 |      32.90 |      32.19 |      32.71
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       8409 |       8427 |       8496 |       8329 |       8122 |       8055
    num cache misses                 |       3653 |       3596 |       3615 |       3574 |       3500 |       3489
    miss rate                        |     43.44% |     42.67% |     42.55% |     42.91% |     43.09% |     43.31%
    mpki                             |      30.03 |      29.65 |      29.86 |      29.64 |      29.06 |      29.37
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3688 |       3630 |       3650 |       3608 |       3534 |       3523
    num cache misses                 |       2475 |       2440 |       2427 |       2399 |       2384 |       2353
    miss rate                        |     67.11% |     67.22% |     66.49% |     66.49% |     67.46% |     66.79%
    mpki                             |      20.35 |      20.12 |      20.04 |      19.89 |      19.79 |      19.81
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14478 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      73.19 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.76 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     40.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1149 |       1140 |       1140 |       1142 |       1141 |       1133
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
