                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   28759901 |   28759709 |   28672686 |   28630002
  Cycles                             |   73747968 |   73747968 |   73747968 |   73747968
  IPC                                |       0.39 |       0.39 |       0.39 |       0.39
  Time (ns)                          |   27724800 |   27724800 |   27724800 |   27724800
  Idle time (ns)                     |        -69 |         44 |        -69 |         44
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    1059719 |    1059696 |    1057967 |    1057134
  num incorrect                      |       8006 |       7983 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2876325 |    2876293 |    2869532 |    2866234
    num misses                       |         63 |         62 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   15778122 |   15778068 |   15732851 |   15710663
    num misses                       |       6344 |       6344 |       6145 |       6044
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.21 |       0.21
  L2 TLB                             |            |            |            |           
    num accesses                     |       6407 |       6406 |       6206 |       6105
    num misses                       |        333 |        332 |        316 |        316
    miss rate                        |      5.20% |      5.18% |      5.09% |      5.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2876325 |    2876293 |    2869532 |    2866234
    num cache misses                 |     138259 |     137479 |     137871 |     137671
    miss rate                        |      4.81% |      4.78% |      4.80% |      4.80%
    mpki                             |       4.81 |       4.78 |       4.81 |       4.81
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   15778122 |   15778068 |   15732851 |   15710663
    num cache misses                 |      99973 |     100477 |      99698 |      99036
    miss rate                        |      0.63% |      0.64% |      0.63% |      0.63%
    mpki                             |       3.48 |       3.49 |       3.48 |       3.46
  Cache L2                           |            |            |            |           
    num cache accesses               |     238255 |     237977 |     237590 |     236729
    num cache misses                 |      63571 |      63686 |      62770 |      62368
    miss rate                        |     26.68% |     26.76% |     26.42% |     26.35%
    mpki                             |       2.21 |       2.21 |       2.19 |       2.18
  Cache L3                           |            |            |            |           
    num cache accesses               |      63606 |      63721 |      62802 |      62399
    num cache misses                 |      13885 |      13855 |      13819 |      13819
    miss rate                        |     21.83% |     21.74% |     22.00% |     22.15%
    mpki                             |       0.48 |       0.48 |       0.48 |       0.48
DRAM summary                         |            |            |            |           
  num dram accesses                  |      55378 |          0 |          0 |          0
  average dram access latency (ns)   |      56.38 |        inf |        inf |        inf
  average dram queueing delay        |       2.95 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       4833 |       4830 |       4822 |       4829
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
