                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   28742683 |   28750140 |   28759913 |   28716197 |   28669277 |   28688342 |   28707229
  Cycles                             |   85564752 |   85564752 |   85564752 |   85564752 |   85564752 |   85564752 |   85564752
  IPC                                |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34
  Time (ns)                          |   32167200 |   32167200 |   32167200 |   32167200 |   32167200 |   32167200 |   32167200
  Idle time (ns)                     |        -19 |         24 |        -39 |        -39 |         16 |         49 |         16
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |    1059331 |    1059476 |    1059719 |    1058814 |    1057900 |    1058272 |    1058640
  num incorrect                      |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    2874936 |    2875512 |    2876325 |    2872890 |    2869267 |    2870740 |    2872198
    num misses                       |         61 |         61 |         63 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   15769227 |   15773103 |   15778122 |   15755448 |   15731072 |   15740980 |   15750802
    num misses                       |       6294 |       6313 |       6344 |       6233 |       6136 |       6180 |       6215
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.21 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |       6355 |       6374 |       6407 |       6294 |       6197 |       6241 |       6276
    num misses                       |        320 |        321 |        333 |        318 |        316 |        316 |        318
    miss rate                        |      5.04% |      5.04% |      5.20% |      5.05% |      5.10% |      5.06% |      5.07%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    2874936 |    2875512 |    2876325 |    2872890 |    2869267 |    2870740 |    2872198
    num cache misses                 |    1315160 |    1306435 |    1315223 |    1318746 |    1325226 |    1320401 |    1322817
    miss rate                        |     45.75% |     45.43% |     45.73% |     45.90% |     46.19% |     46.00% |     46.06%
    mpki                             |      45.76 |      45.44 |      45.73 |      45.92 |      46.22 |      46.03 |      46.08
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   15769227 |   15773103 |   15778122 |   15755448 |   15731072 |   15740980 |   15750802
    num cache misses                 |    3900252 |    3861780 |    3873345 |    3884406 |    3880990 |    3872610 |    3906478
    miss rate                        |     24.73% |     24.48% |     24.55% |     24.65% |     24.67% |     24.60% |     24.80%
    mpki                             |     135.70 |     134.32 |     134.68 |     135.27 |     135.37 |     134.99 |     136.08
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |    5215475 |    5168277 |    5188614 |    5203210 |    5206273 |    5193069 |    5229329
    num cache misses                 |     125391 |     125367 |     123682 |     125372 |     123576 |     124893 |     124310
    miss rate                        |      2.40% |      2.43% |      2.38% |      2.41% |      2.37% |      2.40% |      2.38%
    mpki                             |       4.36 |       4.36 |       4.30 |       4.37 |       4.31 |       4.35 |       4.33
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |     125464 |     125438 |     123748 |     125440 |     123641 |     124959 |     124358
    num cache misses                 |      14662 |      14662 |      14789 |      14662 |      14608 |      14627 |      14638
    miss rate                        |     11.69% |     11.69% |     11.95% |     11.69% |     11.81% |     11.71% |     11.77%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |     108644 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.91 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.48 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       7044 |       7041 |       7183 |       7085 |       7026 |       7103 |       7075
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
