                                     | Core 0     | Core 1    
  Instructions                       |     121558 |     121648
  Cycles                             |     440230 |     440230
  IPC                                |       0.28 |       0.28
  Time (ns)                          |     165500 |     165500
  Idle time (ns)                     |      -1211 |      -1211
  Idle time (%)                      |      -0.7% |      -0.7%
Branch predictor stats               |            |           
  num correct                        |      22014 |      22023
  num incorrect                      |       1493 |       1503
  misprediction rate                 |      6.35% |      6.39%
  mpki                               |      12.28 |      12.36
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15314 |      15330
    num misses                       |         51 |         52
    miss rate                        |      0.33% |      0.34%
    mpki                             |       0.42 |       0.43
  D-TLB                              |            |           
    num accesses                     |      40173 |      40214
    num misses                       |        118 |        118
    miss rate                        |      0.29% |      0.29%
    mpki                             |       0.97 |       0.97
  L2 TLB                             |            |           
    num accesses                     |        169 |        170
    num misses                       |        120 |        121
    miss rate                        |     71.01% |     71.18%
    mpki                             |       0.99 |       0.99
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15314 |      15330
    num cache misses                 |        954 |        968
    miss rate                        |      6.23% |      6.31%
    mpki                             |       7.85 |       7.96
  Cache L1-D                         |            |           
    num cache accesses               |      40173 |      40214
    num cache misses                 |       1952 |       1945
    miss rate                        |      4.86% |      4.84%
    mpki                             |      16.06 |      15.99
  Cache L2                           |            |           
    num cache accesses               |       2947 |       2955
    num cache misses                 |       2533 |       2547
    miss rate                        |     85.95% |     86.19%
    mpki                             |      20.84 |      20.94
  Cache L3                           |            |           
    num cache accesses               |       2575 |       2590
    num cache misses                 |       2460 |       2475
    miss rate                        |     95.53% |     95.56%
    mpki                             |      20.24 |      20.35
DRAM summary                         |            |           
  num dram accesses                  |       4935 |          0
  average dram access latency (ns)   |      69.46 |        inf
  average dram queueing delay        |      16.03 |       0.00
  average dram bandwidth utilization |     25.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1120 |       1124
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
