                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   28752725 |   28675921 |   28687631 |   28689552 |   28759901 |   28736505 |   28688336 |   28693470
  Cycles                             |   97670944 |   97670944 |   97670944 |   97670944 |   97670944 |   97670944 |   97670944 |   97670944
  IPC                                |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Time (ns)                          |   36718400 |   36718400 |   36718400 |   36718400 |   36718400 |   36718400 |   36718400 |   36718400
  Idle time (ns)                     |        -29 |         85 |         65 |         29 |        -29 |         29 |         79 |         45
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1059527 |    1058029 |    1058258 |    1058295 |    1059719 |    1059210 |    1058271 |    1058372
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2875712 |    2869780 |    2870685 |    2870833 |    2876325 |    2874458 |    2870738 |    2871136
    num misses                       |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   15774436 |   15734526 |   15740615 |   15741613 |   15778118 |   15766016 |   15740977 |   15743649
    num misses                       |       6319 |       6152 |       6180 |       6183 |       6344 |       6280 |       6180 |       6191
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       6380 |       6213 |       6241 |       6244 |       6407 |       6341 |       6241 |       6252
    num misses                       |        321 |        316 |        316 |        316 |        333 |        320 |        316 |        316
    miss rate                        |      5.03% |      5.09% |      5.06% |      5.06% |      5.20% |      5.05% |      5.06% |      5.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2875712 |    2869780 |    2870685 |    2870833 |    2876325 |    2874458 |    2870738 |    2871136
    num cache misses                 |    1455291 |    1474965 |    1469790 |    1476094 |    1447689 |    1454016 |    1466264 |    1463620
    miss rate                        |     50.61% |     51.40% |     51.20% |     51.42% |     50.33% |     50.58% |     51.08% |     50.98%
    mpki                             |      50.61 |      51.44 |      51.23 |      51.45 |      50.34 |      50.60 |      51.11 |      51.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   15774436 |   15734526 |   15740615 |   15741613 |   15778118 |   15766016 |   15740977 |   15743649
    num cache misses                 |     211215 |     210316 |     210729 |     210671 |     209659 |     211221 |     210227 |     210854
    miss rate                        |      1.34% |      1.34% |      1.34% |      1.34% |      1.33% |      1.34% |      1.34% |      1.34%
    mpki                             |       7.35 |       7.33 |       7.35 |       7.34 |       7.29 |       7.35 |       7.33 |       7.35
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1666574 |    1685345 |    1680585 |    1686831 |    1657422 |    1665303 |    1676557 |    1674540
    num cache misses                 |     199821 |     202021 |     202697 |     202487 |     195875 |     197689 |     202615 |     204788
    miss rate                        |     11.99% |     11.99% |     12.06% |     12.00% |     11.82% |     11.87% |     12.09% |     12.23%
    mpki                             |       6.95 |       7.04 |       7.07 |       7.06 |       6.81 |       6.88 |       7.06 |       7.14
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     199894 |     202088 |     202766 |     202557 |     195955 |     197761 |     202684 |     204858
    num cache misses                 |      14664 |      14624 |      14629 |      14627 |      14781 |      14696 |      14628 |      14628
    miss rate                        |      7.34% |      7.24% |      7.21% |      7.22% |      7.54% |      7.43% |      7.22% |      7.14%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     124577 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      58.17 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.74 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       7755 |       7699 |       7728 |       7709 |       7768 |       7747 |       7728 |       7709
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
