                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |  108033175 |  104871681 |  106784390 |  104410571 |  103900351 |  103807333
  Cycles                             |  202843886 |  202843886 |  202843886 |  202843886 |  202843886 |  202843886
  IPC                                |       0.53 |       0.52 |       0.53 |       0.51 |       0.51 |       0.51
  Time (ns)                          |   76257100 |   76257100 |   76257100 |   76257100 |   76257100 |   76257100
  Idle time (ns)                     |        -56 |        -37 |        -25 |        -56 |        -37 |        -19
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   17101784 |   16593736 |   16904487 |   16518031 |   16434239 |   16418997
  num incorrect                      |     281892 |     271912 |     278388 |     270396 |     268718 |     268410
  misprediction rate                 |      1.62% |      1.61% |      1.62% |      1.61% |      1.61% |      1.61%
  mpki                               |       2.61 |       2.59 |       2.61 |       2.59 |       2.59 |       2.59
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   16653068 |   16170557 |   16463651 |   16101028 |   16024004 |   16009947
    num misses                       |        152 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   39205554 |   38046769 |   38762520 |   37873639 |   37682190 |   37647216
    num misses                       |       1051 |       1029 |       1031 |       1029 |       1029 |       1029
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       1203 |       1167 |       1169 |       1167 |       1167 |       1167
    num misses                       |        363 |        354 |        354 |        354 |        354 |        354
    miss rate                        |     30.17% |     30.33% |     30.28% |     30.33% |     30.33% |     30.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   16653068 |   16170557 |   16463651 |   16101028 |   16024004 |   16009947
    num cache misses                 |    3166823 |    3563127 |    3323664 |    3553557 |    3572914 |    3527648
    miss rate                        |     19.02% |     22.03% |     20.19% |     22.07% |     22.30% |     22.03%
    mpki                             |      29.31 |      33.98 |      31.12 |      34.03 |      34.39 |      33.98
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   39205554 |   38046769 |   38762520 |   37873639 |   37682190 |   37647216
    num cache misses                 |    1148686 |    1200215 |    1165292 |    1203280 |    1215561 |    1210924
    miss rate                        |      2.93% |      3.15% |      3.01% |      3.18% |      3.23% |      3.22%
    mpki                             |      10.63 |      11.44 |      10.91 |      11.52 |      11.70 |      11.67
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    4316140 |    4763934 |    4489568 |    4757416 |    4789049 |    4739154
    num cache misses                 |     520922 |     567444 |     541479 |     567155 |     565468 |     560345
    miss rate                        |     12.07% |     11.91% |     12.06% |     11.92% |     11.81% |     11.82%
    mpki                             |       4.82 |       5.41 |       5.07 |       5.43 |       5.44 |       5.40
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     521564 |     568043 |     542100 |     567742 |     566054 |     560936
    num cache misses                 |      10919 |      10706 |      10746 |      10701 |      10721 |      10733
    miss rate                        |      2.09% |      1.88% |      1.98% |      1.88% |      1.89% |      1.91%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      67052 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      63.71 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      10.28 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       5498 |       5588 |       5534 |       5585 |       5563 |       5566
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
