                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   28759897 |   28667965 |   28635772 |   28538714 |   28585650
  Cycles                             |   80107230 |   80107230 |   80107230 |   80107230 |   80107230
  IPC                                |       0.36 |       0.36 |       0.36 |       0.36 |       0.36
  Time (ns)                          |   30115500 |   30115500 |   30115500 |   30115500 |   30115500
  Idle time (ns)                     |        -39 |        -39 |         45 |         89 |         77
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    1059719 |    1057874 |    1057247 |    1055354 |    1056269
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    2876325 |    2869165 |    2866680 |    2859184 |    2862809
    num misses                       |         63 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   15778114 |   15730381 |   15713660 |   15663217 |   15687612
    num misses                       |       6344 |       6132 |       6059 |       5844 |       5952
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.21 |       0.20 |       0.21
  L2 TLB                             |            |            |            |            |           
    num accesses                     |       6407 |       6193 |       6120 |       5905 |       6013
    num misses                       |        333 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.10% |      5.16% |      5.35% |      5.26%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    2876325 |    2869165 |    2866680 |    2859184 |    2862809
    num cache misses                 |     532048 |     548666 |     564284 |     564648 |     569222
    miss rate                        |     18.50% |     19.12% |     19.68% |     19.75% |     19.88%
    mpki                             |      18.50 |      19.14 |      19.71 |      19.79 |      19.91
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   15778114 |   15730381 |   15713660 |   15663217 |   15687612
    num cache misses                 |      84028 |      83069 |      82895 |      82014 |      82392
    miss rate                        |      0.53% |      0.53% |      0.53% |      0.52% |      0.53%
    mpki                             |       2.92 |       2.90 |       2.89 |       2.87 |       2.88
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     616101 |     631757 |     647202 |     646685 |     651637
    num cache misses                 |      98706 |      97696 |      97486 |      96417 |      96971
    miss rate                        |     16.02% |     15.46% |     15.06% |     14.91% |     14.88%
    mpki                             |       3.43 |       3.41 |       3.40 |       3.38 |       3.39
  Cache L3                           |            |            |            |            |           
    num cache accesses               |      98746 |      97726 |      97535 |      96448 |      97002
    num cache misses                 |      13891 |      13828 |      13830 |      13831 |      13831
    miss rate                        |     14.07% |     14.15% |     14.18% |     14.34% |     14.26%
    mpki                             |       0.48 |       0.48 |       0.48 |       0.48 |       0.48
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      69425 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      56.88 |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.45 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       6538 |       6500 |       6536 |       6603 |       6616
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
