                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |    9979057 |    9704478 |    9699962 |    9577603 |    9536711 |    9528409 |    9663188 |    9531524 |    9567751 |    9556194
  Cycles                             |   44926336 |   44926336 |   44926336 |   44926336 |   44926336 |   44926336 |   44926336 |   44926336 |   44926336 |   44926336
  IPC                                |       0.22 |       0.22 |       0.22 |       0.21 |       0.21 |       0.21 |       0.22 |       0.21 |       0.21 |       0.21
  Time (ns)                          |   16889600 |   16889600 |   16889600 |   16889600 |   16889600 |   16889600 |   16889600 |   16889600 |   16889600 |   16889600
  Idle time (ns)                     |        -25 |         78 |         69 |         27 |        -25 |        113 |         21 |         52 |        107 |         52
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |     301064 |     293382 |     293257 |     289864 |     288731 |     288502 |     292235 |     288588 |     289591 |     289271
  num incorrect                      |       1544 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467
  misprediction rate                 |      0.51% |      0.50% |      0.50% |      0.50% |      0.51% |      0.51% |      0.50% |      0.51% |      0.50% |      0.50%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1097185 |    1067151 |    1066658 |    1053300 |    1048836 |    1047932 |    1062641 |    1048271 |    1052224 |    1050963
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4596308 |    4470027 |    4467950 |    4411646 |    4392819 |    4389010 |    4451027 |    4390444 |    4407112 |    4401798
    num misses                       |         94 |         92 |         92 |         92 |         92 |         92 |         92 |         92 |         92 |         92
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        146 |        140 |        140 |        140 |        140 |        140 |        140 |        140 |        140 |        140
    num misses                       |        134 |        129 |        129 |        129 |        129 |        129 |        129 |        129 |        129 |        129
    miss rate                        |     91.78% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1097185 |    1067151 |    1066658 |    1053300 |    1048836 |    1047932 |    1062641 |    1048271 |    1052224 |    1050963
    num cache misses                 |     370294 |     359183 |     352587 |     348003 |     344795 |     343147 |     345466 |     341564 |     342110 |     340821
    miss rate                        |     33.75% |     33.66% |     33.06% |     33.04% |     32.87% |     32.75% |     32.51% |     32.58% |     32.51% |     32.43%
    mpki                             |      37.11 |      37.01 |      36.35 |      36.34 |      36.15 |      36.01 |      35.75 |      35.84 |      35.76 |      35.66
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4596308 |    4470027 |    4467950 |    4411646 |    4392819 |    4389010 |    4451027 |    4390444 |    4407112 |    4401798
    num cache misses                 |     879011 |     927380 |     906631 |     990002 |    1006289 |    1002397 |     868428 |    1005602 |     998588 |    1006787
    miss rate                        |     19.12% |     20.75% |     20.29% |     22.44% |     22.91% |     22.84% |     19.51% |     22.90% |     22.66% |     22.87%
    mpki                             |      88.09 |      95.56 |      93.47 |     103.37 |     105.52 |     105.20 |      89.87 |     105.50 |     104.37 |     105.35
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1249352 |    1286606 |    1259261 |    1338047 |    1351130 |    1345587 |    1213935 |    1347207 |    1340743 |    1347652
    num cache misses                 |     965226 |     993467 |     993651 |    1006151 |    1008650 |    1008916 |    1004014 |    1010359 |    1009323 |    1009321
    miss rate                        |     77.26% |     77.22% |     78.91% |     75.20% |     74.65% |     74.98% |     82.71% |     75.00% |     75.28% |     74.89%
    mpki                             |      96.73 |     102.37 |     102.44 |     105.05 |     105.76 |     105.89 |     103.90 |     106.00 |     105.49 |     105.62
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     965275 |     993511 |     993696 |    1006193 |    1008697 |    1008961 |    1004056 |    1010402 |    1009370 |    1009367
    num cache misses                 |       3597 |       3586 |       3529 |       3526 |       3597 |       3579 |       3554 |       3585 |       3534 |       3578
    miss rate                        |      0.37% |      0.36% |      0.36% |      0.35% |      0.36% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35%
    mpki                             |       0.36 |       0.37 |       0.36 |       0.37 |       0.38 |       0.38 |       0.37 |       0.38 |       0.37 |       0.37
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      36302 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      80.34 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      26.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1916 |       2037 |       1984 |       2021 |       2085 |       2053 |       2020 |       2052 |       2020 |       2046
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
