                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     121302 |     121632 |     120814 |     120319 |     120580 |     120827 |     120702 |     121244
  Cycles                             |     867160 |     867160 |     867160 |     867160 |     867160 |     867160 |     867160 |     867160
  IPC                                |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Time (ns)                          |     326000 |     326000 |     326000 |     326000 |     326000 |     326000 |     326000 |     326000
  Idle time (ns)                     |        -58 |       -106 |        369 |       -106 |        541 |        140 |        -10 |         43
  Idle time (%)                      |      -0.0% |      -0.0% |       0.1% |      -0.0% |       0.2% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      21974 |      22012 |      21920 |      21879 |      21908 |      21922 |      21915 |      21969
  num incorrect                      |       1479 |       1514 |       1447 |       1415 |       1435 |       1448 |       1438 |       1474
  misprediction rate                 |      6.31% |      6.44% |      6.19% |      6.07% |      6.15% |      6.20% |      6.16% |      6.29%
  mpki                               |      12.19 |      12.45 |      11.98 |      11.76 |      11.90 |      11.98 |      11.91 |      12.16
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15266 |      15330 |      15182 |      15100 |      15143 |      15182 |      15164 |      15253
    num misses                       |         50 |         52 |         49 |         45 |         47 |         49 |         48 |         50
    miss rate                        |      0.33% |      0.34% |      0.32% |      0.30% |      0.31% |      0.32% |      0.32% |      0.33%
    mpki                             |       0.41 |       0.43 |       0.41 |       0.37 |       0.39 |       0.41 |       0.40 |       0.41
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      40057 |      40203 |      39887 |      39684 |      39774 |      39895 |      39838 |      40062
    num misses                       |         77 |         77 |         76 |         76 |         76 |         76 |         76 |         77
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.64
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        127 |        129 |        125 |        121 |        123 |        125 |        124 |        127
    num misses                       |        121 |        123 |        119 |        115 |        117 |        119 |        118 |        121
    miss rate                        |     95.28% |     95.35% |     95.20% |     95.04% |     95.12% |     95.20% |     95.16% |     95.28%
    mpki                             |       1.00 |       1.01 |       0.98 |       0.96 |       0.97 |       0.98 |       0.98 |       1.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15266 |      15330 |      15182 |      15100 |      15143 |      15182 |      15164 |      15253
    num cache misses                 |       6120 |       5135 |       6155 |       5635 |       5638 |       6077 |       6046 |       5513
    miss rate                        |     40.09% |     33.50% |     40.54% |     37.32% |     37.23% |     40.03% |     39.87% |     36.14%
    mpki                             |      50.45 |      42.22 |      50.95 |      46.83 |      46.76 |      50.30 |      50.09 |      45.47
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      40057 |      40203 |      39887 |      39684 |      39774 |      39895 |      39838 |      40062
    num cache misses                 |       5404 |       4959 |       5487 |       5153 |       5202 |       5459 |       5442 |       5247
    miss rate                        |     13.49% |     12.33% |     13.76% |     12.99% |     13.08% |     13.68% |     13.66% |     13.10%
    mpki                             |      44.55 |      40.77 |      45.42 |      42.83 |      43.14 |      45.18 |      45.09 |      43.28
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11556 |      10128 |      11676 |      10818 |      10871 |      11568 |      11520 |      10793
    num cache misses                 |       4532 |       4329 |       4555 |       4384 |       4419 |       4508 |       4491 |       4395
    miss rate                        |     39.22% |     42.74% |     39.01% |     40.53% |     40.65% |     38.97% |     38.98% |     40.72%
    mpki                             |      37.36 |      35.59 |      37.70 |      36.44 |      36.65 |      37.31 |      37.21 |      36.25
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4567 |       4364 |       4590 |       4416 |       4453 |       4542 |       4525 |       4428
    num cache misses                 |       2441 |       2475 |       2422 |       2369 |       2397 |       2422 |       2409 |       2439
    miss rate                        |     53.45% |     56.71% |     52.77% |     53.65% |     53.83% |     53.32% |     53.24% |     55.08%
    mpki                             |      20.12 |      20.35 |      20.05 |      19.69 |      19.88 |      20.05 |      19.96 |      20.12
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19374 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      78.54 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      25.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     50.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1143 |       1150 |       1142 |       1145 |       1142 |       1144 |       1146 |       1145
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
