                                     | Core 0     | Core 1    
  Instructions                       |   78256599 |   78256740
  Cycles                             |  161515998 |  161515998
  IPC                                |       0.48 |       0.48
  Time (ns)                          |   60720300 |   60720300
  Idle time (ns)                     |        -74 |       -329
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |    2171899 |    2171907
  num incorrect                      |       1013 |       1022
  misprediction rate                 |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    8525004 |    8525013
    num misses                       |         42 |         43
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   36055610 |   36055629
    num misses                       |         71 |         71
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        113 |        114
    num misses                       |        111 |        112
    miss rate                        |     98.23% |     98.25%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    8525004 |    8525013
    num cache misses                 |        547 |        548
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |   36055610 |   36055629
    num cache misses                 |    2121063 |    2121066
    miss rate                        |      5.88% |      5.88%
    mpki                             |      27.10 |      27.10
  Cache L2                           |            |           
    num cache accesses               |    2121630 |    2121636
    num cache misses                 |       4429 |       4442
    miss rate                        |      0.21% |      0.21%
    mpki                             |       0.06 |       0.06
  Cache L3                           |            |           
    num cache accesses               |       4449 |       4464
    num cache misses                 |       3818 |       3826
    miss rate                        |     85.82% |     85.71%
    mpki                             |       0.05 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |       7644 |          0
  average dram access latency (ns)   |      59.16 |        inf
  average dram queueing delay        |       5.74 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |        251 |        248
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
