                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num cache accesses               |    3399407 |    3328861 |    3412754 |    3429811 |    3344286 |    3427337 |    3384356 |    3332311 |    3455645 |    3463459 |    3378555 |    3460623 |    3460996 |    3460268 |    3418494
    num cache misses                 |    3135476 |    3083794 |    3142375 |    3159977 |    3086696 |    3164512 |    3105597 |    3137485 |    3167706 |    3172883 |    3100465 |    3169402 |    3170608 |    3168192 |    3159287
    miss rate                        |     92.24% |     92.64% |     92.08% |     92.13% |     92.30% |     92.33% |     91.76% |     94.15% |     91.67% |     91.61% |     91.77% |     91.58% |     91.61% |     91.56% |     92.42%
    mpki                             |     323.36 |     313.69 |     322.53 |     323.51 |     312.16 |     323.72 |     314.51 |     318.23 |     323.38 |     323.19 |     313.40 |     323.07 |     322.88 |     322.88 |     321.26
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3135490 |    3083809 |    3142390 |    3159994 |    3086710 |    3164526 |    3105611 |    3137499 |    3167723 |    3172899 |    3100482 |    3169419 |    3170625 |    3168209 |    3159301
    num cache misses                 |       1491 |       1491 |       1494 |       1491 |       1489 |       1492 |       1494 |       1496 |       1497 |       1494 |       1541 |       1492 |       1493 |       1495 |       1496
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.16 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      22514 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      91.14 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      37.71 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        680 |        637 |        662 |        668 |        642 |        680 |        694 |        690 |        652 |        685 |        684 |        684 |        687 |        663 |        693
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
