                                     | Core 0     | Core 1    
  Instructions                       |    9978764 |    9979057
  Cycles                             |    8436722 |    8436722
  IPC                                |       1.18 |       1.18
  Time (ns)                          |    3171700 |    3171700
  Idle time (ns)                     |       -100 |       -100
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |     301035 |     301064
  num incorrect                      |       1515 |       1544
  misprediction rate                 |      0.50% |      0.51%
  mpki                               |       0.15 |       0.15
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1097132 |    1097185
    num misses                       |         50 |         52
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    4596211 |    4596308
    num misses                       |         94 |         94
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01
  L2 TLB                             |            |           
    num accesses                     |        144 |        146
    num misses                       |        132 |        134
    miss rate                        |     91.67% |     91.78%
    mpki                             |       0.01 |       0.01
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1097132 |    1097185
    num cache misses                 |        963 |        980
    miss rate                        |      0.09% |      0.09%
    mpki                             |       0.10 |       0.10
  Cache L1-D                         |            |           
    num cache accesses               |    4596211 |    4596308
    num cache misses                 |      21041 |      20329
    miss rate                        |      0.46% |      0.44%
    mpki                             |       2.11 |       2.04
  Cache L2                           |            |           
    num cache accesses               |      22046 |      21352
    num cache misses                 |       3285 |       3318
    miss rate                        |     14.90% |     15.54%
    mpki                             |       0.33 |       0.33
  Cache L3                           |            |           
    num cache accesses               |       3331 |       3365
    num cache misses                 |       3186 |       3219
    miss rate                        |     95.65% |     95.66%
    mpki                             |       0.32 |       0.32
DRAM summary                         |            |           
  num dram accesses                  |       6405 |          0
  average dram access latency (ns)   |      65.02 |        inf
  average dram queueing delay        |      11.59 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1130 |       1135
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
