                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   40121626 |   40120979 |   40107693 |   40120873
  Cycles                             |   53984966 |   53984966 |   53984966 |   53984966
  IPC                                |       0.74 |       0.74 |       0.74 |       0.74
  Time (ns)                          |   20295100 |   20295100 |   20295100 |   20295100
  Idle time (ns)                     |        -32 |         15 |        -32 |         -8
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022008 |   10021933 |   10018671 |   10021927
  num incorrect                      |       1517 |       1463 |       1441 |       1453
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15334 |      15207 |      15165 |      15187
    num misses                       |         52 |         49 |         48 |         49
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      40202 |      39917 |      39839 |      39916
    num misses                       |         76 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        128 |        124 |        123 |        124
    num misses                       |        121 |        117 |        116 |        117
    miss rate                        |     94.53% |     94.35% |     94.31% |     94.35%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15334 |      15207 |      15165 |      15187
    num cache misses                 |       1657 |       1637 |       1474 |       1627
    miss rate                        |     10.81% |     10.76% |      9.72% |     10.71%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40202 |      39917 |      39839 |      39916
    num cache misses                 |       2945 |       2913 |       2813 |       2923
    miss rate                        |      7.33% |      7.30% |      7.06% |      7.32%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L2                           |            |            |            |           
    num cache accesses               |       4640 |       4587 |       4322 |       4585
    num cache misses                 |       2785 |       2727 |       2703 |       2729
    miss rate                        |     60.02% |     59.45% |     62.54% |     59.52%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |       2824 |       2765 |       2740 |       2767
    num cache misses                 |       2477 |       2430 |       2411 |       2427
    miss rate                        |     87.71% |     87.88% |     87.99% |     87.71%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9745 |          0 |          0 |          0
  average dram access latency (ns)   |      70.04 |        inf |        inf |        inf
  average dram queueing delay        |      16.61 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1127 |       1121 |       1121 |       1121
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
