                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   50118814 |   50119915 |   50117542 |   50118932 |   50120656 |   50120085 |   50119665 |   50121353 |   50121663 |   50118706 |   50119752 |   50119136 |   50119538 |   50117107 |   50117329
  Cycles                             |  600515216 |  600515216 |  600515216 |  600515216 |  600515216 |  600515216 |  600515216 |  600515216 |  600515216 |  600515216 |  600515216 |  600515216 |  600515216 |  600515216 |  600515216
  IPC                                |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Time (ns)                          |  225757600 |  225757600 |  225757600 |  225757600 |  225757600 |  225757600 |  225757600 |  225757600 |  225757600 |  225757600 |  225757600 |  225757600 |  225757600 |  225757600 |  225757600
  Idle time (ns)                     |        228 |        209 |        199 |        129 |         62 |        163 |        129 |         22 |         -7 |        228 |         -7 |         93 |        217 |        199 |        199
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021524 |   10021745 |   10021270 |   10021548 |   10021893 |   10021779 |   10021695 |   10021978 |   10022009 |   10021503 |   10021712 |   10021589 |   10021669 |   10021183 |   10021227
  num incorrect                      |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1487 |       1517 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
