                                     | Core 0     | Core 1    
  Instructions                       |   12621722 |   12621408
  Cycles                             |    8961540 |    8961540
  IPC                                |       1.41 |       1.41
  Time (ns)                          |    3369000 |    3369000
  Idle time (ns)                     |      -1333 |      -1333
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |    2522009 |    2521980
  num incorrect                      |       1516 |       1486
  misprediction rate                 |      0.06% |      0.06%
  mpki                               |       0.12 |       0.12
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15333 |      15280
    num misses                       |         52 |         50
    miss rate                        |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |      40248 |      40096
    num misses                       |         74 |         74
    miss rate                        |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01
  L2 TLB                             |            |           
    num accesses                     |        126 |        124
    num misses                       |        121 |        119
    miss rate                        |     96.03% |     95.97%
    mpki                             |       0.01 |       0.01
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15333 |      15280
    num cache misses                 |        961 |        942
    miss rate                        |      6.27% |      6.16%
    mpki                             |       0.08 |       0.07
  Cache L1-D                         |            |           
    num cache accesses               |      40248 |      40096
    num cache misses                 |       1943 |       1950
    miss rate                        |      4.83% |      4.86%
    mpki                             |       0.15 |       0.15
  Cache L2                           |            |           
    num cache accesses               |       2943 |       2930
    num cache misses                 |       2557 |       2525
    miss rate                        |     86.88% |     86.18%
    mpki                             |       0.20 |       0.20
  Cache L3                           |            |           
    num cache accesses               |       2597 |       2564
    num cache misses                 |       2479 |       2446
    miss rate                        |     95.46% |     95.40%
    mpki                             |       0.20 |       0.19
DRAM summary                         |            |           
  num dram accesses                  |       4925 |          0
  average dram access latency (ns)   |      65.08 |        inf
  average dram queueing delay        |      11.65 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1122 |       1117
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
