                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
    mpki                             |       0.22 |       0.20 |       0.24 |       0.24 |       0.24 |       0.24 |       0.23 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.19 |       0.24
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13172 |      12107 |      14694 |      14609 |      14470 |      14600 |      13645 |      14546 |      14427 |      14362 |      14286 |      14597 |      11561 |      14291
    num cache misses                 |       2631 |       2609 |       2638 |       2635 |       2633 |       2642 |       2629 |       2651 |       2646 |       2645 |       2640 |       2647 |       2674 |       2637
    miss rate                        |     19.97% |     21.55% |     17.95% |     18.04% |     18.20% |     18.10% |     19.27% |     18.22% |     18.34% |     18.42% |     18.48% |     18.13% |     23.13% |     18.45%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      37412 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      89.81 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      36.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1348 |       1321 |       1369 |       1365 |       1360 |       1363 |       1342 |       1373 |       1375 |       1376 |       1358 |       1370 |       1326 |       1366
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
