                                     | Core 0    
  Instructions                       |  108033241
  Cycles                             |   51075458
  IPC                                |       2.12
  Time (ns)                          |   19201300
  Idle time (ns)                     |        -49
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   17101784
  num incorrect                      |     281892
  misprediction rate                 |      1.62%
  mpki                               |       2.61
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   16653068
    num misses                       |        152
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   39205587
    num misses                       |       1054
    miss rate                        |      0.00%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |       1206
    num misses                       |        363
    miss rate                        |     30.10%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   16653068
    num cache misses                 |     101355
    miss rate                        |      0.61%
    mpki                             |       0.94
  Cache L1-D                         |           
    num cache accesses               |   39205587
    num cache misses                 |     109906
    miss rate                        |      0.28%
    mpki                             |       1.02
  Cache L2                           |           
    num cache accesses               |     211844
    num cache misses                 |      13665
    miss rate                        |      6.45%
    mpki                             |       0.13
  Cache L3                           |           
    num cache accesses               |      14258
    num cache misses                 |      10579
    miss rate                        |     74.20%
    mpki                             |       0.10
DRAM summary                         |           
  num dram accesses                  |      10579
  average dram access latency (ns)   |      56.35
  average dram queueing delay        |       2.92
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       3500
  num loads from dram cache          |          0
  num loads from remote cache        |          0
