                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   40121436 |   40121682 |   40121502
  Cycles                             |   40468176 |   40468176 |   40468176
  IPC                                |       0.99 |       0.99 |       0.99
  Time (ns)                          |   15213600 |   15213600 |   15213600
  Idle time (ns)                     |       -541 |       -541 |        -42
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10021981 |   10022008 |   10021997
  num incorrect                      |       1492 |       1517 |       1504
  misprediction rate                 |      0.01% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15286 |      15334 |      15315
    num misses                       |         50 |         52 |         51
    miss rate                        |      0.33% |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40114 |      40232 |      40191
    num misses                       |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        126 |        128 |        127
    num misses                       |        119 |        121 |        120
    miss rate                        |     94.44% |     94.53% |     94.49%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15286 |      15334 |      15315
    num cache misses                 |       1370 |       1419 |       1437
    miss rate                        |      8.96% |      9.25% |      9.38%
    mpki                             |       0.03 |       0.04 |       0.04
  Cache L1-D                         |            |            |           
    num cache accesses               |      40114 |      40232 |      40191
    num cache misses                 |       2455 |       2433 |       2477
    miss rate                        |      6.12% |      6.05% |      6.16%
    mpki                             |       0.06 |       0.06 |       0.06
  Cache L2                           |            |            |           
    num cache accesses               |       3868 |       3896 |       3958
    num cache misses                 |       2694 |       2728 |       2712
    miss rate                        |     69.65% |     70.02% |     68.52%
    mpki                             |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |           
    num cache accesses               |       2737 |       2772 |       2756
    num cache misses                 |       2446 |       2477 |       2462
    miss rate                        |     89.37% |     89.36% |     89.33%
    mpki                             |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |           
  num dram accesses                  |       7385 |          0 |          0
  average dram access latency (ns)   |      69.91 |        inf |        inf
  average dram queueing delay        |      16.48 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1126 |       1132 |       1127
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
