                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |     121609 |     121710 |     120832 |     121489 |     120684 |     120439 |     120357 |     120606 |     120568 |     120505 |     118769 |     119195
  Cycles                             |     991116 |     991116 |     991116 |     991116 |     991116 |     991116 |     991116 |     991116 |     991116 |     991116 |     991116 |     991116
  IPC                                |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
  Time (ns)                          |     372600 |     372600 |     372600 |     372600 |     372600 |     372600 |     372600 |     372600 |     372600 |     372600 |     372600 |     372600
  Idle time (ns)                     |        373 |       -228 |        -30 |        -30 |       -228 |        737 |        113 |        878 |        878 |        697 |        778 |        113
  Idle time (%)                      |       0.1% |      -0.1% |      -0.0% |      -0.0% |      -0.1% |       0.2% |       0.0% |       0.2% |       0.2% |       0.2% |       0.2% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      22023 |      22023 |      21934 |      22010 |      21921 |      21913 |      21904 |      21921 |      21919 |      21916 |      21562 |      21652
  num incorrect                      |       1503 |       1503 |       1437 |       1488 |       1425 |       1414 |       1409 |       1424 |       1424 |       1418 |       1354 |       1369
  misprediction rate                 |      6.39% |      6.39% |      6.15% |      6.33% |      6.10% |      6.06% |      6.04% |      6.10% |      6.10% |      6.08% |      5.91% |      5.95%
  mpki                               |      12.36 |      12.35 |      11.89 |      12.25 |      11.81 |      11.74 |      11.71 |      11.81 |      11.81 |      11.77 |      11.40 |      11.49
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15329 |      15330 |      15182 |      15306 |      15148 |      15121 |      15110 |      15148 |      15142 |      15132 |      14995 |      15025
    num misses                       |         52 |         52 |         49 |         51 |         47 |         45 |         45 |         47 |         47 |         47 |         45 |         45
    miss rate                        |      0.34% |      0.34% |      0.32% |      0.33% |      0.31% |      0.30% |      0.30% |      0.31% |      0.31% |      0.31% |      0.30% |      0.30%
    mpki                             |       0.43 |       0.43 |       0.41 |       0.42 |       0.39 |       0.37 |       0.37 |       0.39 |       0.39 |       0.39 |       0.38 |       0.38
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
