                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    6683807 |    6686051 |    6696307 |    6683883 |    6728791 |    6685284 |    6721133 |    6693526
  Cycles                             |   22644580 |   22644580 |   22644580 |   22644580 |   22644580 |   22644580 |   22644580 |   22644580
  IPC                                |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |    8513000 |    8513000 |    8513000 |    8513000 |    8513000 |    8513000 |    8513000 |    8513000
  Idle time (ns)                     |         26 |         58 |         88 |         17 |        -31 |         26 |        -31 |         88
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     258736 |     258781 |     258984 |     258738 |     259678 |     258766 |     259473 |     258929
  num incorrect                      |       3911 |       3911 |       3911 |       3911 |       3961 |       3911 |       3911 |       3911
  misprediction rate                 |      1.49% |      1.49% |      1.49% |      1.49% |      1.50% |      1.49% |      1.48% |      1.49%
  mpki                               |       0.59 |       0.58 |       0.58 |       0.59 |       0.59 |       0.59 |       0.58 |       0.58
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     677095 |     677270 |     678066 |     677102 |     680639 |     677210 |     679988 |     677850
    num misses                       |         60 |         60 |         60 |         60 |         62 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    3626882 |    3628051 |    3633383 |    3626927 |    3650221 |    3627651 |    3646289 |    3631941
    num misses                       |        101 |        101 |        101 |        101 |        107 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        161 |        161 |        161 |        161 |        169 |        161 |        161 |        161
    num misses                       |        146 |        146 |        146 |        146 |        147 |        146 |        146 |        146
    miss rate                        |     90.68% |     90.68% |     90.68% |     90.68% |     86.98% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     677095 |     677270 |     678066 |     677102 |     680639 |     677210 |     679988 |     677850
    num cache misses                 |     330879 |     329068 |     328898 |     327348 |     317139 |     329651 |     317223 |     324236
    miss rate                        |     48.87% |     48.59% |     48.51% |     48.35% |     46.59% |     48.68% |     46.65% |     47.83%
    mpki                             |      49.50 |      49.22 |      49.12 |      48.98 |      47.13 |      49.31 |      47.20 |      48.44
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3626882 |    3628051 |    3633383 |    3626927 |    3650221 |    3627651 |    3646289 |    3631941
    num cache misses                 |      62674 |      62511 |      61710 |      62587 |      60662 |      62373 |      61092 |      61914
    miss rate                        |      1.73% |      1.72% |      1.70% |      1.73% |      1.66% |      1.72% |      1.68% |      1.70%
    mpki                             |       9.38 |       9.35 |       9.22 |       9.36 |       9.02 |       9.33 |       9.09 |       9.25
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     393575 |     391600 |     390630 |     389957 |     377826 |     392047 |     378338 |     386173
    num cache misses                 |      33583 |      33670 |      33762 |      33614 |      33784 |      33841 |      33985 |      33913
    miss rate                        |      8.53% |      8.60% |      8.64% |      8.62% |      8.94% |      8.63% |      8.98% |      8.78%
    mpki                             |       5.02 |       5.04 |       5.04 |       5.03 |       5.02 |       5.06 |       5.06 |       5.07
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      33616 |      33703 |      33805 |      33648 |      33830 |      33880 |      34024 |      33951
    num cache misses                 |       4335 |       4335 |       4335 |       4335 |       4401 |       4335 |       4335 |       4335
    miss rate                        |     12.90% |     12.86% |     12.82% |     12.88% |     13.01% |     12.80% |     12.74% |     12.77%
    mpki                             |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.64 |       0.65
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      34746 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      67.13 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      13.70 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1840 |       1830 |       1821 |       1826 |       1819 |       1826 |       1836 |       1827
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
