                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   28675507 |   28708204 |   28759901 |   28708099 |   28720012 |   28651536 |   28663675 |   28675225
  Cycles                             |  104037388 |  104037388 |  104037388 |  104037388 |  104037388 |  104037388 |  104037388 |  104037388
  IPC                                |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
  Time (ns)                          |   39111800 |   39111800 |   39111800 |   39111800 |   39111800 |   39111800 |   39111800 |   39111800
  Idle time (ns)                     |         41 |        143 |         -2 |         35 |        143 |        138 |         -2 |        128
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1058021 |    1058659 |    1059719 |    1058657 |    1058889 |    1057553 |    1057790 |    1058016
  num incorrect                      |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2869748 |    2872274 |    2876325 |    2872266 |    2873185 |    2867896 |    2868834 |    2869727
    num misses                       |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   15734303 |   15751306 |   15778114 |   15751252 |   15757438 |   15721850 |   15728150 |   15734168
    num misses                       |       6150 |       6217 |       6344 |       6217 |       6241 |       6093 |       6122 |       6150
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.21 |       0.22 |       0.22 |       0.22 |       0.22 |       0.21 |       0.21 |       0.21
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       6211 |       6278 |       6407 |       6278 |       6302 |       6154 |       6183 |       6211
    num misses                       |        316 |        318 |        333 |        318 |        319 |        316 |        316 |        316
    miss rate                        |      5.09% |      5.07% |      5.20% |      5.07% |      5.06% |      5.13% |      5.11% |      5.09%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2869748 |    2872274 |    2876325 |    2872266 |    2873185 |    2867896 |    2868834 |    2869727
    num cache misses                 |    1336806 |    1344459 |    1326242 |    1329990 |    1329733 |    1338466 |    1340151 |    1344765
    miss rate                        |     46.58% |     46.81% |     46.11% |     46.30% |     46.28% |     46.67% |     46.71% |     46.86%
    mpki                             |      46.62 |      46.83 |      46.11 |      46.33 |      46.30 |      46.72 |      46.75 |      46.90
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   15734303 |   15751306 |   15778114 |   15751252 |   15757438 |   15721850 |   15728150 |   15734168
    num cache misses                 |     196834 |     197298 |     196701 |     196794 |     197213 |     196168 |     196330 |     196703
    miss rate                        |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25%
    mpki                             |       6.86 |       6.87 |       6.84 |       6.85 |       6.87 |       6.85 |       6.85 |       6.86
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1533702 |    1541822 |    1523018 |    1526846 |    1527012 |    1534697 |    1536543 |    1541533
    num cache misses                 |     184110 |     183623 |     179480 |     185009 |     182719 |     184722 |     185030 |     183243
    miss rate                        |     12.00% |     11.91% |     11.78% |     12.12% |     11.97% |     12.04% |     12.04% |     11.89%
    mpki                             |       6.42 |       6.40 |       6.24 |       6.44 |       6.36 |       6.45 |       6.46 |       6.39
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     184175 |     183691 |     179561 |     185074 |     182790 |     184788 |     185095 |     183313
    num cache misses                 |      14625 |      14637 |      14781 |      14632 |      14669 |      14626 |      14626 |      14633
    miss rate                        |      7.94% |      7.97% |      8.23% |      7.91% |      8.03% |      7.92% |      7.90% |      7.98%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     124513 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.96 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.53 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       9500 |       9498 |       9541 |       9507 |       9535 |       9503 |       9524 |       9520
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
