                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   28759949 |   27955546 |   27453238 |   27206973 |   27102742 |   27064232 |   27052055 |   27020966 |   27042646 |   27119608
  Cycles                             |  122040002 |  122040002 |  122040002 |  122040002 |  122040002 |  122040002 |  122040002 |  122040002 |  122040002 |  122040002
  IPC                                |       0.24 |       0.23 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  Time (ns)                          |   45879700 |   45879700 |   45879700 |   45879700 |   45879700 |   45879700 |   45879700 |   45879700 |   45879700 |   45879700
  Idle time (ns)                     |        -94 |        -94 |        -33 |         25 |         45 |         25 |        -33 |         20 |        -50 |        -59
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1043987 |    1030312 |    1022818 |    1019202 |    1018710 |    1018431 |    1017034 |    1017664 |    1020452
  num incorrect                      |       8006 |       7955 |       7859 |       7803 |       7777 |       7773 |       7772 |       7762 |       7766 |       7786
  misprediction rate                 |      0.75% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76%
  mpki                               |       0.28 |       0.28 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2814151 |    2768382 |    2744750 |    2734151 |    2731389 |    2730360 |    2726746 |    2728774 |    2736792
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778135 |   15360123 |   15058504 |   14906642 |   14841519 |   14819407 |   14812368 |   14791883 |   14805240 |   14853867
    num misses                       |       6344 |       4560 |       4390 |       4388 |       4388 |       4388 |       4388 |       4388 |       4388 |       4388
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       4621 |       4451 |       4449 |       4449 |       4449 |       4449 |       4449 |       4449 |       4449
    num misses                       |        333 |        316 |        308 |        308 |        308 |        308 |        308 |        308 |        308 |        308
    miss rate                        |      5.20% |      6.84% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2814151 |    2768382 |    2744750 |    2734151 |    2731389 |    2730360 |    2726746 |    2728774 |    2736792
    num cache misses                 |    1237901 |    1319845 |    1413066 |    1442811 |    1450836 |    1435375 |    1433696 |    1441305 |    1429863 |    1436918
    miss rate                        |     43.04% |     46.90% |     51.04% |     52.57% |     53.06% |     52.55% |     52.51% |     52.86% |     52.40% |     52.50%
    mpki                             |      43.04 |      47.21 |      51.47 |      53.03 |      53.53 |      53.04 |      53.00 |      53.34 |      52.87 |      52.98
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15778135 |   15360123 |   15058504 |   14906642 |   14841519 |   14819407 |   14812368 |   14791883 |   14805240 |   14853867
    num cache misses                 |    4899470 |    4915790 |    4979161 |    5021152 |    5042205 |    5077108 |    5022848 |    5057133 |    5035589 |    5013861
    miss rate                        |     31.05% |     32.00% |     33.07% |     33.68% |     33.97% |     34.26% |     33.91% |     34.19% |     34.01% |     33.75%
    mpki                             |     170.36 |     175.84 |     181.37 |     184.55 |     186.04 |     187.59 |     185.67 |     187.16 |     186.21 |     184.88
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6138674 |    6236707 |    6392926 |    6464561 |    6493615 |    6513007 |    6457099 |    6499001 |    6466012 |    6451327
    num cache misses                 |    1061864 |    1108068 |    1167593 |    1183441 |    1200726 |    1204586 |    1200656 |    1210356 |    1213725 |    1197944
    miss rate                        |     17.30% |     17.77% |     18.26% |     18.31% |     18.49% |     18.50% |     18.59% |     18.62% |     18.77% |     18.57%
    mpki                             |      36.92 |      39.64 |      42.53 |      43.50 |      44.30 |      44.51 |      44.38 |      44.79 |      44.88 |      44.17
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1063192 |    1109160 |    1168310 |    1184051 |    1201313 |    1205122 |    1201227 |    1210935 |    1214299 |    1198508
    num cache misses                 |      29698 |      31070 |      30929 |      33760 |      33365 |      33148 |      33242 |      33017 |      33166 |      32994
    miss rate                        |      2.79% |      2.80% |      2.65% |      2.85% |      2.78% |      2.75% |      2.77% |      2.73% |      2.73% |      2.75%
    mpki                             |       1.03 |       1.11 |       1.13 |       1.24 |       1.23 |       1.22 |       1.23 |       1.22 |       1.23 |       1.22
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     415819 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      58.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       5.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      24040 |      25850 |      26338 |      29331 |      29020 |      28828 |      28862 |      28539 |      28677 |      28654
