                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10    
  Instructions                       |    70107412 |    70105375 |    70104555 |    70089313 |    70115914 |    70121716 |    70109585 |    70103768 |    70096319 |    70100818 |    70106739
  Cycles                             |  1486852486 |  1486852486 |  1486852486 |  1486852486 |  1486852486 |  1486852486 |  1486852486 |  1486852486 |  1486852486 |  1486852486 |  1486852486
  IPC                                |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05
  Time (ns)                          |   558967100 |   558967100 |   558967100 |   558967100 |   558967100 |   558967100 |   558967100 |   558967100 |   558967100 |   558967100 |   558967100
  Idle time (ns)                     |         167 |         161 |         131 |         349 |         152 |         -51 |         -51 |         110 |         167 |         384 |         131
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10019996 |    10019706 |    10019589 |    10017411 |    10021212 |    10022008 |    10020308 |    10019476 |    10018412 |    10019055 |    10019901
  num incorrect                      |        1443 |        1443 |        1443 |        1443 |        1443 |        1519 |        1443 |        1443 |        1443 |        1443 |        1443
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15171 |       15171 |       15171 |       15171 |       15171 |       15340 |       15171 |       15171 |       15171 |       15171 |       15171
    num misses                       |          48 |          48 |          48 |          48 |          48 |          52 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60028379 |    60026632 |    60025930 |    60012868 |    60035670 |    60040234 |    60030226 |    60025256 |    60018872 |    60022728 |    60027805
    num misses                       |          79 |          79 |          79 |          79 |          79 |          80 |          79 |          79 |          79 |          79 |          79
