                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   78255260 |   78254665 |   78254749 |   78255810 |   78255407 |   78251564 |   78251386 |   78246419 |   78256721 |   78253442 |   78252796
  Cycles                             |  349217834 |  349217834 |  349217834 |  349217834 |  349217834 |  349217834 |  349217834 |  349217834 |  349217834 |  349217834 |  349217834
  IPC                                |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  Time (ns)                          |  131284900 |  131284900 |  131284900 |  131284900 |  131284900 |  131284900 |  131284900 |  131284900 |  131284900 |  131284900 |  131284900
  Idle time (ns)                     |         62 |        -24 |         45 |         32 |         88 |        116 |         88 |         88 |        -24 |        133 |        116
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171844 |    2171828 |    2171830 |    2171859 |    2171848 |    2171744 |    2171737 |    2171601 |    2171907 |    2171795 |    2171777
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |       1022 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8524839 |    8524773 |    8524783 |    8524897 |    8524854 |    8524438 |    8524416 |    8523876 |    8525013 |    8524642 |    8524572
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36054996 |   36054714 |   36054760 |   36055242 |   36055058 |   36053296 |   36053214 |   36050930 |   36055621 |   36054159 |   36053865
    num misses                       |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         71 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        114 |        109 |        109
