                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   77867532 |   78042520 |   73613774 |   76419930 |   78149869 |   77925778 |   78256679
  Cycles                             |  148386770 |  148386770 |  148386770 |  148386770 |  148386770 |  148386770 |  148386770
  IPC                                |       0.52 |       0.53 |       0.50 |       0.52 |       0.53 |       0.53 |       0.53
  Time (ns)                          |   55784500 |   55784500 |   55784500 |   55784500 |   55784500 |   55784500 |   55784500
  Idle time (ns)                     |        -38 |        -44 |        -33 |        -19 |        -51 |        -35 |        -67
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |    2161233 |    2166021 |    2044801 |    2121609 |    2168959 |    2162827 |    2171907
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |        981 |       1022
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    8482719 |    8501727 |    8020617 |    8325459 |    8513388 |    8489047 |    8525013
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   35876723 |   35957179 |   33920877 |   35211124 |   36006537 |   35903504 |   36055649
    num misses                       |         69 |         69 |         69 |         69 |         69 |         69 |         71
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        109 |        109 |        109 |        114
    num misses                       |        109 |        109 |        109 |        109 |        109 |        109 |        112
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |     98.25%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    8482719 |    8501727 |    8020617 |    8325459 |    8513388 |    8489047 |    8525013
    num cache misses                 |    6368668 |    6386664 |    6327208 |    6361612 |    6388076 |    6376712 |    6387554
    miss rate                        |     75.08% |     75.12% |     78.89% |     76.41% |     75.04% |     75.12% |     74.93%
    mpki                             |      81.79 |      81.84 |      85.95 |      83.25 |      81.74 |      81.83 |      81.62
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   35876723 |   35957179 |   33920877 |   35211124 |   36006537 |   35903504 |   36055649
    num cache misses                 |    2353044 |    2349447 |    2186413 |    2290699 |    2363285 |    2356786 |    2367652
    miss rate                        |      6.56% |      6.53% |      6.45% |      6.51% |      6.56% |      6.56% |      6.57%
    mpki                             |      30.22 |      30.10 |      29.70 |      29.98 |      30.24 |      30.24 |      30.25
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |    8721726 |    8736125 |    8513635 |    8652326 |    8751376 |    8733512 |    8755226
    num cache misses                 |     325383 |     342870 |     282189 |     308141 |     335205 |     322281 |     338184
    miss rate                        |      3.73% |      3.92% |      3.31% |      3.56% |      3.83% |      3.69% |      3.86%
    mpki                             |       4.18 |       4.39 |       3.83 |       4.03 |       4.29 |       4.14 |       4.32
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |     325398 |     342885 |     282204 |     308157 |     335221 |     322296 |     338205
    num cache misses                 |       3772 |       3774 |       3716 |       3753 |       3775 |       3772 |       3826
    miss rate                        |      1.16% |      1.10% |      1.32% |      1.22% |      1.13% |      1.17% |      1.13%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      26388 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     134.08 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      80.65 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1157 |       1174 |       1118 |       1151 |       1186 |       1163 |       1199
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
