                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |      58.02 |      59.70 |      63.16 |      58.96 |      55.85 |      61.34 |      63.07 |      60.30 |      60.68 |      63.98 |      57.91 |      62.92 |      61.62 |      62.85 |      57.81 |      60.67
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5040 |       5388 |       5090 |       5273 |       4995 |       4789 |       5395 |       4564 |       5398 |       4037 |       5185 |       4985 |       3705 |       3930 |       5179 |       4599
    num cache misses                 |       3532 |       3789 |       3583 |       3683 |       3486 |       3472 |       3847 |       3360 |       3701 |       2955 |       3709 |       3534 |       2648 |       2774 |       3620 |       3322
    miss rate                        |     70.08% |     70.32% |     70.39% |     69.85% |     69.79% |     72.50% |     71.31% |     73.62% |     68.56% |     73.20% |     71.53% |     70.89% |     71.47% |     70.59% |     69.90% |     72.23%
    mpki                             |      88.79 |      95.28 |      97.72 |      92.57 |      87.66 |      95.68 |     101.56 |      96.94 |      93.07 |     104.34 |      93.27 |      96.38 |      96.95 |      97.84 |      91.03 |      96.53
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3549 |       3805 |       3594 |       3700 |       3504 |       3482 |       3858 |       3370 |       3717 |       2964 |       3726 |       3544 |       2658 |       2784 |       3636 |       3331
    num cache misses                 |        779 |        778 |        724 |        781 |        778 |        715 |        727 |        699 |        779 |        578 |        779 |        724 |        558 |        579 |        779 |        673
    miss rate                        |     21.95% |     20.45% |     20.14% |     21.11% |     22.20% |     20.53% |     18.84% |     20.74% |     20.96% |     19.50% |     20.91% |     20.43% |     20.99% |     20.80% |     21.42% |     20.20%
    mpki                             |      19.58 |      19.56 |      19.75 |      19.63 |      19.56 |      19.70 |      19.19 |      20.17 |      19.59 |      20.41 |      19.59 |      19.75 |      20.43 |      20.42 |      19.59 |      19.56
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      11476 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     761.20 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     707.77 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     91.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        186 |        184 |        172 |        183 |        184 |        167 |        167 |        184 |        184 |        146 |        186 |        178 |        146 |        148 |        185 |        172
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
