                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |     138012 |     138090 |     138469 |     138154 |     138085 |     137874 |     138259 |     138320 |     138232 |     138144
  Cycles                             |     447146 |     447146 |     447146 |     447146 |     447146 |     447146 |     447146 |     447146 |     447146 |     447146
  IPC                                |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Time (ns)                          |     168100 |     168100 |     168100 |     168100 |     168100 |     168100 |     168100 |     168100 |     168100 |     168100
  Idle time (ns)                     |         60 |         32 |        -31 |        -31 |         58 |        -15 |         -9 |         71 |         32 |         92
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |      30284 |      30293 |      30327 |      30302 |      30292 |      30267 |      30313 |      30320 |      30307 |      30300
  num incorrect                      |       1480 |       1486 |       1519 |       1496 |       1486 |       1472 |       1504 |       1512 |       1502 |       1493
  misprediction rate                 |      4.66% |      4.68% |      4.77% |      4.70% |      4.68% |      4.64% |      4.73% |      4.75% |      4.72% |      4.70%
  mpki                               |      10.72 |      10.76 |      10.97 |      10.83 |      10.76 |      10.68 |      10.88 |      10.93 |      10.87 |      10.81
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15382 |      15398 |      15458 |      15412 |      15398 |      15358 |      15434 |      15448 |      15425 |      15409
    num misses                       |         50 |         50 |         52 |         50 |         50 |         49 |         51 |         51 |         51 |         50
    miss rate                        |      0.33% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.33% |      0.33% |      0.33% |      0.32%
    mpki                             |       0.36 |       0.36 |       0.38 |       0.36 |       0.36 |       0.36 |       0.37 |       0.37 |       0.37 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40072 |      40114 |      40246 |      40146 |      40112 |      39999 |      40197 |      40232 |      40188 |      40140
    num misses                       |         72 |         72 |         72 |         72 |         72 |         71 |         72 |         72 |         72 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.52 |       0.52 |       0.52 |       0.52 |       0.52 |       0.51 |       0.52 |       0.52 |       0.52 |       0.52
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        122 |        122 |        124 |        122 |        122 |        120 |        123 |        123 |        123 |        122
    num misses                       |        120 |        120 |        122 |        120 |        120 |        118 |        121 |        121 |        121 |        120
    miss rate                        |     98.36% |     98.36% |     98.39% |     98.36% |     98.36% |     98.33% |     98.37% |     98.37% |     98.37% |     98.36%
    mpki                             |       0.87 |       0.87 |       0.88 |       0.87 |       0.87 |       0.86 |       0.88 |       0.87 |       0.88 |       0.87
