                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   28717623 |   28759928 |   28745593 |   28727173 |   28729589 |   28727642 |   28710150 |   28720657 |   28704315 |   28677239
  Cycles                             |  119616742 |  119616742 |  119616742 |  119616742 |  119616742 |  119616742 |  119616742 |  119616742 |  119616742 |  119616742
  IPC                                |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24
  Time (ns)                          |   44968700 |   44968700 |   44968700 |   44968700 |   44968700 |   44968700 |   44968700 |   44968700 |   44968700 |   44968700
  Idle time (ns)                     |         54 |        -14 |         53 |        -11 |         41 |         21 |        -11 |        134 |         84 |        134
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1058842 |    1059719 |    1059387 |    1059029 |    1059075 |    1059038 |    1058696 |    1058902 |    1058582 |    1058054
  num incorrect                      |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2873000 |    2876325 |    2875160 |    2873739 |    2873924 |    2873775 |    2872423 |    2873236 |    2871972 |    2869880
    num misses                       |         61 |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15756186 |   15778126 |   15770734 |   15761159 |   15762422 |   15761411 |   15752311 |   15757781 |   15749281 |   15735209
    num misses                       |       6236 |       6344 |       6299 |       6259 |       6264 |       6260 |       6221 |       6242 |       6210 |       6154
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.21
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
