                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |    6655547 |    6635872 |    6676304 |    6617631 |    6624841 |    6627596 |    6670388 |    6728791 |    6711001 |    6622809 |    6628654 |    6632697 |    6614018
  Cycles                             |   49914634 |   49914634 |   49914634 |   49914634 |   49914634 |   49914634 |   49914634 |   49914634 |   49914634 |   49914634 |   49914634 |   49914634 |   49914634
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |   18764900 |   18764900 |   18764900 |   18764900 |   18764900 |   18764900 |   18764900 |   18764900 |   18764900 |   18764900 |   18764900 |   18764900 |   18764900
  Idle time (ns)                     |        278 |          3 |        -43 |        247 |         33 |        160 |        247 |        -43 |        115 |         89 |        240 |          3 |        230
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     258179 |     257790 |     258589 |     257429 |     257573 |     257626 |     258471 |     259678 |     259273 |     257532 |     257648 |     257727 |     257358
  num incorrect                      |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3961 |       3911 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.49% |      1.49% |      1.49% |      1.50% |      1.50% |      1.50% |      1.49% |      1.50% |      1.49% |      1.50% |      1.50% |      1.49% |      1.50%
  mpki                               |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.58 |       0.59 |       0.59 |       0.59 |       0.59
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     674906 |     673380 |     676515 |     671966 |     672526 |     672738 |     676055 |     680639 |     679203 |     672368 |     672822 |     673134 |     671685
    num misses                       |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         62 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3612182 |    3601930 |    3622967 |    3592459 |    3596211 |    3597636 |    3619901 |    3650221 |    3641029 |    3595153 |    3598196 |    3600295 |    3590578
    num misses                       |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        107 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        169 |        161 |        161 |        161 |        161 |        161
    num misses                       |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        147 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     674906 |     673380 |     676515 |     671966 |     672526 |     672738 |     676055 |     680639 |     679203 |     672368 |     672822 |     673134 |     671685
