                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   28759956 |   28745856 |   28601740 |   28623387 |   28417177 |   28373917 |   28372396 |   28323688 |   28309627
  Cycles                             |  123942168 |  123942168 |  123942168 |  123942168 |  123942168 |  123942168 |  123942168 |  123942168 |  123942168
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   46594800 |   46594800 |   46594800 |   46594800 |   46594800 |   46594800 |   46594800 |   46594800 |   46594800
  Idle time (ns)                     |        -53 |        -53 |         48 |         31 |         18 |         -1 |         31 |         84 |         84
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1059393 |    1056584 |    1057005 |    1052985 |    1052143 |    1052114 |    1051163 |    1050889
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2875181 |    2864052 |    2865723 |    2849799 |    2846460 |    2846343 |    2842580 |    2841494
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778139 |   15770861 |   15695976 |   15707221 |   15600053 |   15577574 |   15576784 |   15551466 |   15544159
    num misses                       |       6344 |       6300 |       5991 |       6029 |       5572 |       5485 |       5483 |       5367 |       5335
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.22 |       0.21 |       0.21 |       0.20 |       0.19 |       0.19 |       0.19 |       0.19
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       6361 |       6052 |       6090 |       5633 |       5546 |       5544 |       5428 |       5396
    num misses                       |        333 |        320 |        316 |        316 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.03% |      5.22% |      5.19% |      5.61% |      5.70% |      5.70% |      5.82% |      5.86%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2875181 |    2864052 |    2865723 |    2849799 |    2846460 |    2846343 |    2842580 |    2841494
    num cache misses                 |    1378504 |    1376770 |    1387076 |    1403587 |    1411749 |    1390018 |    1376793 |    1392348 |    1372299
    miss rate                        |     47.93% |     47.88% |     48.43% |     48.98% |     49.54% |     48.83% |     48.37% |     48.98% |     48.29%
    mpki                             |      47.93 |      47.89 |      48.50 |      49.04 |      49.68 |      48.99 |      48.53 |      49.16 |      48.47
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15778139 |   15770861 |   15695976 |   15707221 |   15600053 |   15577574 |   15576784 |   15551466 |   15544159
    num cache misses                 |     560225 |     556366 |     557286 |     560443 |     554016 |     550079 |     554035 |     559680 |     553655
    miss rate                        |      3.55% |      3.53% |      3.55% |      3.57% |      3.55% |      3.53% |      3.56% |      3.60% |      3.56%
    mpki                             |      19.48 |      19.35 |      19.48 |      19.58 |      19.50 |      19.39 |      19.53 |      19.76 |      19.56
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1939458 |    1933838 |    1945080 |    1964747 |    1966452 |    1940769 |    1931492 |    1952684 |    1926611
    num cache misses                 |     656460 |     654510 |     663549 |     670655 |     681539 |     689542 |     696340 |     701121 |     702380
    miss rate                        |     33.85% |     33.85% |     34.11% |     34.13% |     34.66% |     35.53% |     36.05% |     35.91% |     36.46%
    mpki                             |      22.83 |      22.77 |      23.20 |      23.43 |      23.98 |      24.30 |      24.54 |      24.75 |      24.81
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     657199 |     655222 |     664279 |     671380 |     682237 |     690232 |     697011 |     701787 |     703039
